2547,I
85,B
85,B
102,B
102,B
3594,P
7405,P
2220,P
6401,P
1766,P
367,B
249,B
406,B
4304,P
505,B
232,B
406,B
4160,P
419,B
252,B
463,B
4207,P
528,B
281,B
380,B
4471,P
485,B
264,B
358,B
4286,P
449,B
201,B
384,B
4251,P
440,B
260,B
496,B
4142,P
401,B
348,B
418,B
3868,P
521,B
272,B
371,B
4326,P
570,B
296,B
1546,B
614,B
16500,I
390,B
729,B
3226,P
605,B
343,B
576,B
4150,P
545,B
372,B
518,B
4335,P
567,B
409,B
557,B
4402,P
522,B
292,B
514,B
4504,P
669,B
313,B
584,B
4545,P
567,B
312,B
522,B
4521,P
654,B
344,B
520,B
4613,P
563,B
407,B
579,B
4655,P
525,B
302,B
569,B
4575,P
638,B
324,B
568,B
4778,P
612,B
384,B
538,B
4602,P
522,B
442,B
18690,I
523,B
595,B
583,B
521,B
4902,P
605,B
341,B
474,B
4534,P
2608,B
4496,P
4795,B
3087,B
6317,B
3070,B
2486,P
206,B
1156,B
283,B
1125,B
4946,P
1292,B
346,B
1410,B
4021,P
422,B
858,B
341,B
3161,P
314,B
350,B
1483,P
256,B
361,B
539,B
290,B
2339,P
322,B
172,B
313,B
2165,P
304,B
164,B
265,B
1943,P
176,B
191,B
555,B
216,B
7362,I
161,B
322,B
1207,P
205,B
150,B
343,B
2054,P
333,B
176,B
307,B
1952,P
272,B
199,B
238,B
2031,P
225,B
163,B
263,B
2204,P
304,B
186,B
269,B
1979,P
276,B
164,B
349,B
1835,P
329,B
165,B
293,B
2255,P
287,B
186,B
309,B
1953,P
266,B
193,B
283,B
1876,P
248,B
167,B
241,B
1989,P
351,B
180,B
263,B
1978,P
315,B
405,B
8101,I
263,B
347,B
551,B
318,B
1825,P
271,B
1021,P
703,B
1289,B
1732,B
2564,P
1696,B
1185,B
1878,B
2389,P
97,B
118,P
14020,I
6191,B
20943,B
8413,B
61009,P
9524,B
50877,P
9580,B
8439,B
70619,P
5633,B
16513,B
5687,B
39051,P
7795,B
8674,B
40229,P
7335,B
19440,B
6573,B
37635,P
7714,B
21119,B
8334,B
41011,P
10509,B
13689,B
7850,B
46483,P
8232,B
11826,B
7089,B
128832,I
5356,B
18155,P
7363,B
8243,B
31675,P
6206,B
20696,P
6275,B
17366,B
6091,B
35902,P
5894,B
19687,B
5217,B
40683,P
5370,B
17536,B
4607,B
38345,P
9849,B
12545,B
14771,B
6066,B
42646,P
4985,B
26629,P
5768,B
17602,B
6826,B
35513,P
9552,B
14114,B
8029,B
41261,P
9336,B
14096,B
8987,B
37740,P
10236,B
14083,B
8987,B
38477,P
9225,B
13152,B
7497,B
38089,P
16420,B
17736,B
9298,B
138065,I
8357,B
8292,B
23820,P
4117,B
13523,B
4120,B
29722,P
3961,B
13105,B
4593,B
32378,P
4861,B
13708,B
5095,B
29540,P
5754,B
21653,P
5401,B
15254,B
5253,B
33526,P
5146,B
16318,B
5384,B
36011,P
5818,B
17728,B
6932,B
36645,P
7418,B
19196,B
7130,B
39149,P
6771,B
18554,B
5667,B
37226,P
5220,B
18235,B
5617,B
37211,P
5662,B
17525,B
5799,B
36545,P
5462,B
16820,B
5515,B
35804,P
113005,I
7642,B
7665,B
26273,P
5504,B
17277,B
5180,B
34668,P
5051,B
15846,B
4977,B
30118,P
4732,B
27682,P
4785,B
15985,B
4697,B
33951,P
4360,B
15814,B
4274,B
34863,P
4159,B
14950,B
4464,B
33174,P
4179,B
15047,B
4068,B
33220,P
3757,B
13890,B
3779,B
32599,P
3472,B
13950,B
3177,B
28724,P
4286,B
4462,B
28760,P
3058,B
19341,P
2855,B
10137,B
2903,B
29550,P
2674,B
10209,B
2311,B
104803,I
4605,B
7993,B
7764,B
2858,B
28805,P
3730,B
4828,B
2656,B
33430,P
3088,B
3703,B
20430,P
2535,B
11250,B
2122,B
23952,P
2870,B
3462,B
25648,P
5461,B
7296,B
7591,B
2536,B
29358,P
1750,B
16719,P
3139,B
4606,B
1990,B
31681,P
3137,B
4379,B
2343,B
26935,P
2871,B
3838,B
2181,B
27025,P
2974,B
4127,B
2024,B
27033,P
1675,B
9170,B
10916,B
52846,P
5515,B
8051,B
5742,B
112611,I
4041,B
3645,B
25682,P
2280,B
4329,B
2157,B
24931,P
2621,B
4289,B
2035,B
28340,P
2535,B
4067,B
2279,B
25392,P
2829,B
4425,B
2219,B
27348,P
2880,B
4226,B
2016,B
25960,P
2765,B
4377,B
2289,B
24025,P
2715,B
3881,B
2268,B
25243,P
2817,B
3901,B
2047,B
26168,P
2750,B
4295,B
2034,B
27064,P
2632,B
3756,B
1987,B
25994,P
2828,B
4163,B
1873,B
26855,P
2569,B
3784,B
93089,I
3203,B
3029,B
3759,B
1550,B
26331,P
2682,B
3307,B
1757,B
27821,P
2383,B
3157,B
1792,B
22685,P
2610,B
3343,B
1943,B
26225,P
2528,B
3122,B
2161,B
25315,P
2714,B
3165,B
1840,B
26006,P
3224,B
3612,B
1844,B
34378,P
2923,B
3133,B
1780,B
22516,P
3074,B
3633,B
2039,B
28255,P
3045,B
3670,B
1855,B
28825,P
2796,B
3462,B
2071,B
27913,P
2765,B
3709,B
2328,B
28007,P
91969,I
3088,B
2605,B
20814,P
