n:1 mse_avg:2.13 mse_y:2.75 mse_u:0.96 mse_v:0.79 psnr_avg:44.86 psnr_y:43.74 psnr_u:48.31 psnr_v:49.15 
n:2 mse_avg:2.66 mse_y:3.55 mse_u:0.95 mse_v:0.79 psnr_avg:43.89 psnr_y:42.63 psnr_u:48.35 psnr_v:49.15 
n:3 mse_avg:3.12 mse_y:4.23 mse_u:0.97 mse_v:0.80 psnr_avg:43.19 psnr_y:41.86 psnr_u:48.27 psnr_v:49.10 
n:4 mse_avg:3.38 mse_y:4.61 mse_u:1.00 mse_v:0.83 psnr_avg:42.84 psnr_y:41.49 psnr_u:48.13 psnr_v:48.92 
n:5 mse_avg:3.66 mse_y:5.02 mse_u:1.05 mse_v:0.85 psnr_avg:42.49 psnr_y:41.12 psnr_u:47.94 psnr_v:48.83 
n:6 mse_avg:3.67 mse_y:5.03 mse_u:1.04 mse_v:0.86 psnr_avg:42.48 psnr_y:41.12 psnr_u:47.96 psnr_v:48.79 
n:7 mse_avg:3.76 mse_y:5.16 mse_u:1.05 mse_v:0.86 psnr_avg:42.38 psnr_y:41.00 psnr_u:47.90 psnr_v:48.77 
n:8 mse_avg:3.89 mse_y:5.34 mse_u:1.08 mse_v:0.89 psnr_avg:42.24 psnr_y:40.86 psnr_u:47.80 psnr_v:48.66 
n:9 mse_avg:4.05 mse_y:5.57 mse_u:1.13 mse_v:0.91 psnr_avg:42.05 psnr_y:40.67 psnr_u:47.59 psnr_v:48.54 
n:10 mse_avg:3.91 mse_y:5.36 mse_u:1.10 mse_v:0.90 psnr_avg:42.21 psnr_y:40.84 psnr_u:47.71 psnr_v:48.57 
n:11 mse_avg:3.94 mse_y:5.41 mse_u:1.10 mse_v:0.90 psnr_avg:42.17 psnr_y:40.80 psnr_u:47.73 psnr_v:48.59 
n:12 mse_avg:3.93 mse_y:5.40 mse_u:1.10 mse_v:0.90 psnr_avg:42.18 psnr_y:40.81 psnr_u:47.72 psnr_v:48.60 
n:13 mse_avg:4.13 mse_y:5.68 mse_u:1.14 mse_v:0.92 psnr_avg:41.97 psnr_y:40.58 psnr_u:47.58 psnr_v:48.48 
n:14 mse_avg:3.95 mse_y:5.42 mse_u:1.11 mse_v:0.92 psnr_avg:42.16 psnr_y:40.79 psnr_u:47.67 psnr_v:48.52 
n:15 mse_avg:3.99 mse_y:5.47 mse_u:1.12 mse_v:0.92 psnr_avg:42.12 psnr_y:40.75 psnr_u:47.63 psnr_v:48.50 
n:16 mse_avg:4.02 mse_y:5.51 mse_u:1.13 mse_v:0.92 psnr_avg:42.09 psnr_y:40.72 psnr_u:47.60 psnr_v:48.48 
n:17 mse_avg:4.28 mse_y:5.89 mse_u:1.18 mse_v:0.95 psnr_avg:41.82 psnr_y:40.43 psnr_u:47.42 psnr_v:48.37 
n:18 mse_avg:4.15 mse_y:5.70 mse_u:1.18 mse_v:0.96 psnr_avg:41.95 psnr_y:40.57 psnr_u:47.42 psnr_v:48.33 
n:19 mse_avg:4.21 mse_y:5.78 mse_u:1.20 mse_v:0.97 psnr_avg:41.89 psnr_y:40.51 psnr_u:47.35 psnr_v:48.25 
n:20 mse_avg:4.28 mse_y:5.86 mse_u:1.23 mse_v:1.00 psnr_avg:41.82 psnr_y:40.45 psnr_u:47.25 psnr_v:48.15 
n:21 mse_avg:4.42 mse_y:6.05 mse_u:1.27 mse_v:1.03 psnr_avg:41.68 psnr_y:40.31 psnr_u:47.10 psnr_v:48.01 
n:22 mse_avg:4.19 mse_y:5.73 mse_u:1.23 mse_v:1.01 psnr_avg:41.91 psnr_y:40.55 psnr_u:47.25 psnr_v:48.10 
