n:1 mse_avg:0.07 mse_y:0.09 mse_u:0.03 mse_v:0.02 psnr_avg:59.62 psnr_y:58.39 psnr_u:64.00 psnr_v:64.47 
n:2 mse_avg:39.37 mse_y:58.69 mse_u:0.94 mse_v:0.51 psnr_avg:32.18 psnr_y:30.45 psnr_u:48.42 psnr_v:51.07 
n:3 mse_avg:39.17 mse_y:58.42 mse_u:0.86 mse_v:0.47 psnr_avg:32.20 psnr_y:30.46 psnr_u:48.76 psnr_v:51.42 
n:4 mse_avg:63.56 mse_y:94.66 mse_u:1.61 mse_v:1.14 psnr_avg:30.10 psnr_y:28.37 psnr_u:46.05 psnr_v:47.58 
n:5 mse_avg:61.57 mse_y:91.68 mse_u:1.57 mse_v:1.14 psnr_avg:30.24 psnr_y:28.51 psnr_u:46.18 psnr_v:47.55 
n:6 mse_avg:80.50 mse_y:119.67 mse_u:2.39 mse_v:1.92 psnr_avg:29.07 psnr_y:27.35 psnr_u:44.36 psnr_v:45.30 
n:7 mse_avg:76.47 mse_y:113.67 mse_u:2.29 mse_v:1.84 psnr_avg:29.30 psnr_y:27.57 psnr_u:44.54 psnr_v:45.47 
n:8 mse_avg:89.23 mse_y:132.43 mse_u:3.06 mse_v:2.61 psnr_avg:28.63 psnr_y:26.91 psnr_u:43.28 psnr_v:43.96 
n:9 mse_avg:88.23 mse_y:130.95 mse_u:3.05 mse_v:2.54 psnr_avg:28.67 psnr_y:26.96 psnr_u:43.29 psnr_v:44.08 
n:10 mse_avg:98.75 mse_y:146.32 mse_u:3.89 mse_v:3.30 psnr_avg:28.19 psnr_y:26.48 psnr_u:42.23 psnr_v:42.94 
n:11 mse_avg:94.80 mse_y:140.42 mse_u:3.83 mse_v:3.25 psnr_avg:28.36 psnr_y:26.66 psnr_u:42.30 psnr_v:43.01 
n:12 mse_avg:103.05 mse_y:152.45 mse_u:4.59 mse_v:3.90 psnr_avg:28.00 psnr_y:26.30 psnr_u:41.52 psnr_v:42.22 
n:13 mse_avg:105.00 mse_y:155.33 mse_u:4.71 mse_v:3.95 psnr_avg:27.92 psnr_y:26.22 psnr_u:41.40 psnr_v:42.16 
n:14 mse_avg:113.23 mse_y:167.36 mse_u:5.36 mse_v:4.54 psnr_avg:27.59 psnr_y:25.89 psnr_u:40.84 psnr_v:41.56 
n:15 mse_avg:110.33 mse_y:163.06 mse_u:5.25 mse_v:4.50 psnr_avg:27.70 psnr_y:26.01 psnr_u:40.93 psnr_v:41.60 
n:16 mse_avg:114.93 mse_y:169.71 mse_u:5.78 mse_v:4.99 psnr_avg:27.53 psnr_y:25.83 psnr_u:40.51 psnr_v:41.15 
n:17 mse_avg:116.70 mse_y:172.36 mse_u:5.75 mse_v:4.99 psnr_avg:27.46 psnr_y:25.77 psnr_u:40.53 psnr_v:41.15 
n:18 mse_avg:122.07 mse_y:180.17 mse_u:6.25 mse_v:5.49 psnr_avg:27.26 psnr_y:25.57 psnr_u:40.17 psnr_v:40.74 
n:19 mse_avg:116.77 mse_y:172.28 mse_u:6.04 mse_v:5.44 psnr_avg:27.46 psnr_y:25.77 psnr_u:40.32 psnr_v:40.77 
n:20 mse_avg:120.88 mse_y:178.22 mse_u:6.50 mse_v:5.88 psnr_avg:27.31 psnr_y:25.62 psnr_u:40.00 psnr_v:40.44 
n:21 mse_avg:123.43 mse_y:181.97 mse_u:6.66 mse_v:6.02 psnr_avg:27.22 psnr_y:25.53 psnr_u:39.90 psnr_v:40.34 
n:22 mse_avg:125.90 mse_y:185.45 mse_u:7.09 mse_v:6.49 psnr_avg:27.13 psnr_y:25.45 psnr_u:39.62 psnr_v:40.01 
n:23 mse_avg:126.79 mse_y:186.74 mse_u:7.17 mse_v:6.59 psnr_avg:27.10 psnr_y:25.42 psnr_u:39.57 psnr_v:39.94 
n:24 mse_avg:130.02 mse_y:191.39 mse_u:7.56 mse_v:7.02 psnr_avg:26.99 psnr_y:25.31 psnr_u:39.35 psnr_v:39.67 
n:25 mse_avg:133.65 mse_y:196.73 mse_u:7.82 mse_v:7.18 psnr_avg:26.87 psnr_y:25.19 psnr_u:39.20 psnr_v:39.57 
n:26 mse_avg:136.97 mse_y:201.51 mse_u:8.19 mse_v:7.62 psnr_avg:26.76 psnr_y:25.09 psnr_u:39.00 psnr_v:39.31 
n:27 mse_avg:138.87 mse_y:204.36 mse_u:8.14 mse_v:7.67 psnr_avg:26.70 psnr_y:25.03 psnr_u:39.02 psnr_v:39.28 
n:28 mse_avg:139.74 mse_y:205.54 mse_u:8.34 mse_v:7.96 psnr_avg:26.68 psnr_y:25.00 psnr_u:38.92 psnr_v:39.12 
n:29 mse_avg:142.93 mse_y:210.30 mse_u:8.38 mse_v:8.00 psnr_avg:26.58 psnr_y:24.90 psnr_u:38.90 psnr_v:39.10 
n:30 mse_avg:144.72 mse_y:212.85 mse_u:8.66 mse_v:8.28 psnr_avg:26.53 psnr_y:24.85 psnr_u:38.76 psnr_v:38.95 
n:31 mse_avg:147.42 mse_y:216.88 mse_u:8.68 mse_v:8.33 psnr_avg:26.45 psnr_y:24.77 psnr_u:38.75 psnr_v:38.93 
n:32 mse_avg:150.33 mse_y:221.07 mse_u:9.00 mse_v:8.69 psnr_avg:26.36 psnr_y:24.69 psnr_u:38.59 psnr_v:38.74 
n:33 mse_avg:148.05 mse_y:217.69 mse_u:8.90 mse_v:8.64 psnr_avg:26.43 psnr_y:24.75 psnr_u:38.64 psnr_v:38.76 
n:34 mse_avg:152.37 mse_y:224.00 mse_u:9.22 mse_v:8.98 psnr_avg:26.30 psnr_y:24.63 psnr_u:38.48 psnr_v:38.60 
n:35 mse_avg:150.49 mse_y:221.22 mse_u:9.13 mse_v:8.93 psnr_avg:26.36 psnr_y:24.68 psnr_u:38.53 psnr_v:38.62 
n:36 mse_avg:155.96 mse_y:229.23 mse_u:9.53 mse_v:9.29 psnr_avg:26.20 psnr_y:24.53 psnr_u:38.34 psnr_v:38.45 
n:37 mse_avg:155.71 mse_y:228.85 mse_u:9.51 mse_v:9.34 psnr_avg:26.21 psnr_y:24.54 psnr_u:38.35 psnr_v:38.43 
n:38 mse_avg:159.63 mse_y:234.59 mse_u:9.79 mse_v:9.66 psnr_avg:26.10 psnr_y:24.43 psnr_u:38.22 psnr_v:38.28 
n:39 mse_avg:158.38 mse_y:232.74 mse_u:9.70 mse_v:9.63 psnr_avg:26.13 psnr_y:24.46 psnr_u:38.26 psnr_v:38.30 
n:40 mse_avg:162.32 mse_y:238.50 mse_u:10.00 mse_v:9.94 psnr_avg:26.03 psnr_y:24.36 psnr_u:38.13 psnr_v:38.16 
n:41 mse_avg:160.39 mse_y:235.65 mse_u:9.84 mse_v:9.92 psnr_avg:26.08 psnr_y:24.41 psnr_u:38.20 psnr_v:38.16 
n:42 mse_avg:161.89 mse_y:237.79 mse_u:10.03 mse_v:10.19 psnr_avg:26.04 psnr_y:24.37 psnr_u:38.12 psnr_v:38.05 
n:43 mse_avg:165.77 mse_y:243.58 mse_u:10.12 mse_v:10.23 psnr_avg:25.94 psnr_y:24.26 psnr_u:38.08 psnr_v:38.03 
n:44 mse_avg:165.10 mse_y:242.49 mse_u:10.24 mse_v:10.43 psnr_avg:25.95 psnr_y:24.28 psnr_u:38.03 psnr_v:37.95 
n:45 mse_avg:164.85 mse_y:242.09 mse_u:10.30 mse_v:10.47 psnr_avg:25.96 psnr_y:24.29 psnr_u:38.00 psnr_v:37.93 
n:46 mse_avg:167.69 mse_y:246.15 mse_u:10.66 mse_v:10.87 psnr_avg:25.89 psnr_y:24.22 psnr_u:37.85 psnr_v:37.77 
n:47 mse_avg:169.81 mse_y:249.31 mse_u:10.73 mse_v:10.87 psnr_avg:25.83 psnr_y:24.16 psnr_u:37.82 psnr_v:37.77 
n:48 mse_avg:171.62 mse_y:251.93 mse_u:10.98 mse_v:11.01 psnr_avg:25.79 psnr_y:24.12 psnr_u:37.73 psnr_v:37.71 
n:49 mse_avg:172.72 mse_y:253.53 mse_u:11.11 mse_v:11.10 psnr_avg:25.76 psnr_y:24.09 psnr_u:37.67 psnr_v:37.68 
n:50 mse_avg:175.82 mse_y:258.05 mse_u:11.37 mse_v:11.36 psnr_avg:25.68 psnr_y:24.01 psnr_u:37.57 psnr_v:37.58 
n:51 mse_avg:176.97 mse_y:259.77 mse_u:11.37 mse_v:11.40 psnr_avg:25.65 psnr_y:23.98 psnr_u:37.57 psnr_v:37.56 
n:52 mse_avg:180.18 mse_y:264.43 mse_u:11.67 mse_v:11.69 psnr_avg:25.57 psnr_y:23.91 psnr_u:37.46 psnr_v:37.45 
n:53 mse_avg:174.96 mse_y:256.72 mse_u:11.30 mse_v:11.58 psnr_avg:25.70 psnr_y:24.04 psnr_u:37.60 psnr_v:37.49 
n:54 mse_avg:176.63 mse_y:259.11 mse_u:11.52 mse_v:11.82 psnr_avg:25.66 psnr_y:24.00 psnr_u:37.52 psnr_v:37.40 
n:55 mse_avg:178.80 mse_y:262.31 mse_u:11.67 mse_v:11.92 psnr_avg:25.61 psnr_y:23.94 psnr_u:37.46 psnr_v:37.37 
n:56 mse_avg:181.33 mse_y:265.97 mse_u:11.94 mse_v:12.16 psnr_avg:25.55 psnr_y:23.88 psnr_u:37.36 psnr_v:37.28 
n:57 mse_avg:178.68 mse_y:262.07 mse_u:11.75 mse_v:12.05 psnr_avg:25.61 psnr_y:23.95 psnr_u:37.43 psnr_v:37.32 
n:58 mse_avg:180.54 mse_y:264.71 mse_u:12.06 mse_v:12.31 psnr_avg:25.57 psnr_y:23.90 psnr_u:37.32 psnr_v:37.23 
n:59 mse_avg:183.41 mse_y:268.94 mse_u:12.27 mse_v:12.42 psnr_avg:25.50 psnr_y:23.83 psnr_u:37.24 psnr_v:37.19 
n:60 mse_avg:184.62 mse_y:270.66 mse_u:12.52 mse_v:12.61 psnr_avg:25.47 psnr_y:23.81 psnr_u:37.16 psnr_v:37.12 
n:61 mse_avg:186.04 mse_y:272.74 mse_u:12.65 mse_v:12.62 psnr_avg:25.43 psnr_y:23.77 psnr_u:37.11 psnr_v:37.12 
n:62 mse_avg:184.76 mse_y:270.76 mse_u:12.73 mse_v:12.78 psnr_avg:25.46 psnr_y:23.81 psnr_u:37.08 psnr_v:37.06 
n:63 mse_avg:184.60 mse_y:270.49 mse_u:12.76 mse_v:12.89 psnr_avg:25.47 psnr_y:23.81 psnr_u:37.07 psnr_v:37.03 
n:64 mse_avg:186.33 mse_y:272.97 mse_u:13.01 mse_v:13.13 psnr_avg:25.43 psnr_y:23.77 psnr_u:36.99 psnr_v:36.95 
n:65 mse_avg:188.14 mse_y:275.63 mse_u:13.18 mse_v:13.14 psnr_avg:25.39 psnr_y:23.73 psnr_u:36.93 psnr_v:36.95 
n:66 mse_avg:188.68 mse_y:276.39 mse_u:13.27 mse_v:13.26 psnr_avg:25.37 psnr_y:23.72 psnr_u:36.90 psnr_v:36.91 
n:67 mse_avg:186.13 mse_y:272.61 mse_u:13.08 mse_v:13.27 psnr_avg:25.43 psnr_y:23.78 psnr_u:36.97 psnr_v:36.90 
n:68 mse_avg:187.53 mse_y:274.59 mse_u:13.29 mse_v:13.54 psnr_avg:25.40 psnr_y:23.74 psnr_u:36.90 psnr_v:36.82 
n:69 mse_avg:188.50 mse_y:276.02 mse_u:13.36 mse_v:13.57 psnr_avg:25.38 psnr_y:23.72 psnr_u:36.87 psnr_v:36.81 
n:70 mse_avg:193.23 mse_y:282.95 mse_u:13.76 mse_v:13.81 psnr_avg:25.27 psnr_y:23.61 psnr_u:36.74 psnr_v:36.73 
n:71 mse_avg:191.99 mse_y:281.16 mse_u:13.66 mse_v:13.67 psnr_avg:25.30 psnr_y:23.64 psnr_u:36.78 psnr_v:36.77 
n:72 mse_avg:193.88 mse_y:283.87 mse_u:13.93 mse_v:13.89 psnr_avg:25.26 psnr_y:23.60 psnr_u:36.69 psnr_v:36.71 
n:73 mse_avg:197.33 mse_y:288.95 mse_u:14.18 mse_v:14.01 psnr_avg:25.18 psnr_y:23.52 psnr_u:36.61 psnr_v:36.67 
n:74 mse_avg:198.68 mse_y:290.90 mse_u:14.34 mse_v:14.15 psnr_avg:25.15 psnr_y:23.49 psnr_u:36.57 psnr_v:36.62 
n:75 mse_avg:197.48 mse_y:289.15 mse_u:14.16 mse_v:14.09 psnr_avg:25.18 psnr_y:23.52 psnr_u:36.62 psnr_v:36.64 
n:76 mse_avg:197.26 mse_y:288.83 mse_u:14.17 mse_v:14.10 psnr_avg:25.18 psnr_y:23.52 psnr_u:36.62 psnr_v:36.64 
n:77 mse_avg:198.37 mse_y:290.48 mse_u:14.19 mse_v:14.13 psnr_avg:25.16 psnr_y:23.50 psnr_u:36.61 psnr_v:36.63 
n:78 mse_avg:198.97 mse_y:291.30 mse_u:14.34 mse_v:14.24 psnr_avg:25.14 psnr_y:23.49 psnr_u:36.57 psnr_v:36.60 
n:79 mse_avg:200.07 mse_y:292.94 mse_u:14.41 mse_v:14.24 psnr_avg:25.12 psnr_y:23.46 psnr_u:36.55 psnr_v:36.59 
n:80 mse_avg:200.35 mse_y:293.31 mse_u:14.53 mse_v:14.29 psnr_avg:25.11 psnr_y:23.46 psnr_u:36.51 psnr_v:36.58 
n:81 mse_avg:200.60 mse_y:293.69 mse_u:14.50 mse_v:14.36 psnr_avg:25.11 psnr_y:23.45 psnr_u:36.52 psnr_v:36.56 
n:82 mse_avg:201.40 mse_y:294.86 mse_u:14.56 mse_v:14.41 psnr_avg:25.09 psnr_y:23.43 psnr_u:36.50 psnr_v:36.54 
n:83 mse_avg:203.90 mse_y:298.55 mse_u:14.72 mse_v:14.51 psnr_avg:25.04 psnr_y:23.38 psnr_u:36.45 psnr_v:36.51 
n:84 mse_avg:206.57 mse_y:302.48 mse_u:14.85 mse_v:14.64 psnr_avg:24.98 psnr_y:23.32 psnr_u:36.41 psnr_v:36.48 
n:85 mse_avg:206.85 mse_y:302.92 mse_u:14.79 mse_v:14.62 psnr_avg:24.97 psnr_y:23.32 psnr_u:36.43 psnr_v:36.48 
n:86 mse_avg:208.75 mse_y:305.70 mse_u:14.93 mse_v:14.76 psnr_avg:24.93 psnr_y:23.28 psnr_u:36.39 psnr_v:36.44 
n:87 mse_avg:212.43 mse_y:311.14 mse_u:15.09 mse_v:14.90 psnr_avg:24.86 psnr_y:23.20 psnr_u:36.34 psnr_v:36.40 
n:88 mse_avg:214.39 mse_y:314.03 mse_u:15.22 mse_v:15.01 psnr_avg:24.82 psnr_y:23.16 psnr_u:36.31 psnr_v:36.37 
n:89 mse_avg:212.66 mse_y:311.53 mse_u:14.88 mse_v:14.94 psnr_avg:24.85 psnr_y:23.20 psnr_u:36.40 psnr_v:36.39 
n:90 mse_avg:213.62 mse_y:312.93 mse_u:14.96 mse_v:15.03 psnr_avg:24.83 psnr_y:23.18 psnr_u:36.38 psnr_v:36.36 
n:91 mse_avg:212.40 mse_y:311.10 mse_u:14.84 mse_v:15.15 psnr_avg:24.86 psnr_y:23.20 psnr_u:36.42 psnr_v:36.33 
n:92 mse_avg:214.82 mse_y:314.64 mse_u:15.09 mse_v:15.24 psnr_avg:24.81 psnr_y:23.15 psnr_u:36.34 psnr_v:36.30 
n:93 mse_avg:216.05 mse_y:316.49 mse_u:15.13 mse_v:15.20 psnr_avg:24.79 psnr_y:23.13 psnr_u:36.33 psnr_v:36.31 
n:94 mse_avg:219.37 mse_y:321.36 mse_u:15.43 mse_v:15.37 psnr_avg:24.72 psnr_y:23.06 psnr_u:36.25 psnr_v:36.27 
n:95 mse_avg:218.83 mse_y:320.53 mse_u:15.52 mse_v:15.32 psnr_avg:24.73 psnr_y:23.07 psnr_u:36.22 psnr_v:36.28 
n:96 mse_avg:220.06 mse_y:322.29 mse_u:15.75 mse_v:15.46 psnr_avg:24.71 psnr_y:23.05 psnr_u:36.16 psnr_v:36.24 
n:97 mse_avg:220.55 mse_y:322.93 mse_u:15.95 mse_v:15.62 psnr_avg:24.70 psnr_y:23.04 psnr_u:36.10 psnr_v:36.19 
n:98 mse_avg:223.15 mse_y:326.73 mse_u:16.18 mse_v:15.76 psnr_avg:24.64 psnr_y:22.99 psnr_u:36.04 psnr_v:36.15 
n:99 mse_avg:222.48 mse_y:325.78 mse_u:16.06 mse_v:15.72 psnr_avg:24.66 psnr_y:23.00 psnr_u:36.07 psnr_v:36.17 
n:100 mse_avg:223.75 mse_y:327.58 mse_u:16.33 mse_v:15.88 psnr_avg:24.63 psnr_y:22.98 psnr_u:36.00 psnr_v:36.12 
n:101 mse_avg:223.90 mse_y:327.80 mse_u:16.31 mse_v:15.87 psnr_avg:24.63 psnr_y:22.97 psnr_u:36.01 psnr_v:36.12 
n:102 mse_avg:224.13 mse_y:328.07 mse_u:16.49 mse_v:16.02 psnr_avg:24.63 psnr_y:22.97 psnr_u:35.96 psnr_v:36.08 
n:103 mse_avg:223.14 mse_y:326.58 mse_u:16.48 mse_v:16.03 psnr_avg:24.65 psnr_y:22.99 psnr_u:35.96 psnr_v:36.08 
n:104 mse_avg:224.55 mse_y:328.59 mse_u:16.70 mse_v:16.25 psnr_avg:24.62 psnr_y:22.96 psnr_u:35.90 psnr_v:36.02 
n:105 mse_avg:224.96 mse_y:329.15 mse_u:16.85 mse_v:16.30 psnr_avg:24.61 psnr_y:22.96 psnr_u:35.87 psnr_v:36.01 
