1306120,I

42873,P
79287,P
78135,P
69202,P
75798,P
117191,P
102748,P
82898,P
93254,P
136140,P
112297,P
93921,P
82798,P
119062,P
140828,P
90830,P
107681,P
169560,P
129569,P
123741,P
219256,P
316424,P
126822,P
150282,P
114471,P
148433,P
107908,P
130683,P
124183,P
140312,P
105720,P
118428,P
116117,P
140340,P
106490,P
135373,P
151606,P
208442,P
109044,P
128100,P
107296,P
112842,P
109148,P
141277,P
108126,P
116304,P
87458,P
124176,P
81037,P
1287314,I
63871,P
138571,P
134901,P
134197,P
81879,P
101903,P
114609,P
105336,P
121556,P
116307,P
106795,P
78868,P
81985,P
86506,P
112399,P
85586,P
110736,P
125028,P
137798,P
116731,P
74081,P
98306,P
100731,P
135768,P
99903,P
103918,P
105610,P
109249,P
120786,P
112381,P
103145,P
146092,P
87029,P
137133,P
115426,P
190786,P
90613,P
123846,P
126396,P
163408,P
96693,P
108214,P
92803,P
120011,P
86066,P
103632,P
114694,P
135380,P
100253,P
1337618,I
48905,P
106048,P
72485,P
107027,P
99057,P
136463,P
85077,P
126691,P
85925,P
104657,P
81153,P
101323,P
81546,P
118266,P
99509,P
112702,P
130306,P
163718,P
109678,P
102443,P
89867,P
108405,P
96914,P
99199,P
97342,P
110272,P
93510,P
73622,P
74961,P
106079,P
87702,P
94493,P
115485,P
188492,P
93835,P
99813,P
283593,P
112670,P
71655,P
74633,P
51383,P
82634,P
36545,P
41962,P
39838,P
299627,P
81482,P
84219,P
69317,P
1195224,I
31956,P
47754,P
46349,P
70509,P
53189,P
66687,P
74801,P
97906,P
74928,P
90113,P
70794,P
65323,P
80762,P
131814,P
94038,P
305851,P
125103,P
154913,P
147641,P
207431,P
93285,P
133333,P
102306,P
139127,P
81140,P
105093,P
98460,P
107447,P
98052,P
106267,P
115589,P
116907,P
93107,P
126954,P
128438,P
161025,P
97750,P
110812,P
108219,P
129081,P
81148,P
93742,P
88752,P
119689,P
120275,P
107927,P
96647,P
141284,P
85490,P
1353295,I
51134,P
150233,P
63196,P
83112,P
73479,P
108665,P
65038,P
98170,P
93458,P
100115,P
79457,P
78631,P
89527,P
125227,P
86561,P
117250,P
137852,P
195877,P
86437,P
90253,P
88072,P
111770,P
90625,P
172933,P
76773,P
98656,P
78240,P
86310,P
97055,P
138008,P
99127,P
141752,P
113808,P
169376,P
87178,P
100660,P
87525,P
132060,P
114382,P
103999,P
80712,P
98903,P
79811,P
86958,P
80359,P
113700,P
108633,P
103515,P
87517,P
1329886,I
50336,P
57653,P
100460,P
142175,P
83042,P
89660,P
65947,P
93283,P
76408,P
103073,P
87107,P
169151,P
96270,P
121773,P
98527,P
159805,P
90938,P
109162,P
103504,P
126664,P
95061,P
107845,P
88108,P
97814,P
81168,P
94248,P
108002,P
120546,P
94499,P
110949,P
115668,P
233144,P
85872,P
113313,P
106263,P
86666,P
97744,P
105102,P
103308,P
122291,P
57076,P
65511,P
61530,P
347399,P
102612,P
99874,P
83511,P
106651,P
91648,P
1382858,I
56228,P
75893,P
55752,P
69030,P
81509,P
87731,P
108345,P
97369,P
87959,P
84349,P
137925,P
98667,P
101649,P
148485,P
92448,P
118401,P
112703,P
169174,P
95919,P
115755,P
103135,P
174067,P
82456,P
99842,P
88803,P
113299,P
79755,P
103804,P
127334,P
142998,P
88349,P
112146,P
122122,P
193827,P
96065,P
100796,P
118422,P
128035,P
95709,P
129186,P
91940,P
109058,P
101072,P
113929,P
110050,P
128230,P
109177,P
124776,P
124372,P
1392211,I
61949,P
98969,P
83844,P
111095,P
86533,P
97623,P
81283,P
94552,P
94610,P
86516,P
78599,P
100861,P
89646,P
94389,P
108711,P
131691,P
116147,P
107698,P
195020,P
124292,P
88759,P
95876,P
72851,P
92676,P
79387,P
92033,P
73915,P
121584,P
90783,P
108391,P
92218,P
172379,P
93992,P
103074,P
84046,P
109071,P
88516,P
99259,P
84997,P
97380,P
75946,P
91973,P
87584,P
138268,P
95780,P
109827,P
157828,P
297186,P
103065,P
1320805,I
60837,P
72909,P
67782,P
95026,P
87301,P
86418,P
77442,P
88911,P
90669,P
110549,P
90922,P
134796,P
126534,P
155894,P
82628,P
108550,P
100104,P
118797,P
102869,P
118982,P
102266,P
96910,P
87379,P
93750,P
107277,P
127015,P
166973,P
121481,P
128237,P
151466,P
94185,P
93294,P
97106,P
138920,P
103893,P
110509,P
87706,P
113796,P
56115,P
58318,P
61506,P
345674,P
105322,P
109885,P
89071,P
113500,P
83764,P
97364,P
107692,P
1401731,I
59225,P
74146,P
78964,P
104590,P
80771,P
103866,P
96356,P
87394,P
89229,P
79770,P
98369,P
116423,P
98310,P
136751,P
134525,P
162966,P
99100,P
103741,P
102774,P
122259,P
98717,P
120794,P
98578,P
111993,P
88928,P
98904,P
91968,P
131639,P
120122,P
125236,P
104698,P
141869,P
91754,P
114201,P
164804,P
133272,P
113562,P
104663,P
88949,P
93744,P
89762,P
102386,P
