n:1 mse_avg:50.28 mse_y:74.24 mse_u:2.46 mse_v:2.24 psnr_avg:31.12 psnr_y:29.42 psnr_u:44.22 psnr_v:44.63 
n:2 mse_avg:67.15 mse_y:99.54 mse_u:2.48 mse_v:2.25 psnr_avg:29.86 psnr_y:28.15 psnr_u:44.18 psnr_v:44.61 
n:3 mse_avg:67.78 mse_y:100.49 mse_u:2.48 mse_v:2.25 psnr_avg:29.82 psnr_y:28.11 psnr_u:44.19 psnr_v:44.61 
n:4 mse_avg:79.93 mse_y:118.69 mse_u:2.54 mse_v:2.28 psnr_avg:29.10 psnr_y:27.39 psnr_u:44.08 psnr_v:44.56 
n:5 mse_avg:79.68 mse_y:118.31 mse_u:2.52 mse_v:2.27 psnr_avg:29.12 psnr_y:27.40 psnr_u:44.12 psnr_v:44.56 
n:6 mse_avg:83.57 mse_y:124.15 mse_u:2.55 mse_v:2.29 psnr_avg:28.91 psnr_y:27.19 psnr_u:44.06 psnr_v:44.53 
n:7 mse_avg:97.37 mse_y:144.56 mse_u:3.14 mse_v:2.84 psnr_avg:28.25 psnr_y:26.53 psnr_u:43.16 psnr_v:43.59 
n:8 mse_avg:87.28 mse_y:129.50 mse_u:3.01 mse_v:2.70 psnr_avg:28.72 psnr_y:27.01 psnr_u:43.34 psnr_v:43.82 
n:9 mse_avg:81.40 mse_y:120.70 mse_u:2.96 mse_v:2.66 psnr_avg:29.02 psnr_y:27.31 psnr_u:43.42 psnr_v:43.89 
n:10 mse_avg:80.48 mse_y:119.32 mse_u:2.96 mse_v:2.66 psnr_avg:29.07 psnr_y:27.36 psnr_u:43.41 psnr_v:43.88 
n:11 mse_avg:82.22 mse_y:121.93 mse_u:2.97 mse_v:2.67 psnr_avg:28.98 psnr_y:27.27 psnr_u:43.41 psnr_v:43.86 
n:12 mse_avg:80.11 mse_y:118.76 mse_u:2.95 mse_v:2.65 psnr_avg:29.09 psnr_y:27.38 psnr_u:43.43 psnr_v:43.90 
n:13 mse_avg:78.68 mse_y:116.63 mse_u:2.93 mse_v:2.63 psnr_avg:29.17 psnr_y:27.46 psnr_u:43.46 psnr_v:43.92 
n:14 mse_avg:78.15 mse_y:115.83 mse_u:2.93 mse_v:2.63 psnr_avg:29.20 psnr_y:27.49 psnr_u:43.47 psnr_v:43.93 
n:15 mse_avg:86.93 mse_y:128.99 mse_u:2.97 mse_v:2.66 psnr_avg:28.74 psnr_y:27.03 psnr_u:43.40 psnr_v:43.88 
n:16 mse_avg:82.25 mse_y:121.97 mse_u:2.94 mse_v:2.64 psnr_avg:28.98 psnr_y:27.27 psnr_u:43.44 psnr_v:43.91 
n:17 mse_avg:77.08 mse_y:114.23 mse_u:2.92 mse_v:2.62 psnr_avg:29.26 psnr_y:27.55 psnr_u:43.47 psnr_v:43.94 
n:18 mse_avg:79.04 mse_y:117.17 mse_u:2.93 mse_v:2.63 psnr_avg:29.15 psnr_y:27.44 psnr_u:43.46 psnr_v:43.93 
n:19 mse_avg:82.99 mse_y:123.07 mse_u:2.97 mse_v:2.69 psnr_avg:28.94 psnr_y:27.23 psnr_u:43.40 psnr_v:43.83 
n:20 mse_avg:81.43 mse_y:120.75 mse_u:2.94 mse_v:2.63 psnr_avg:29.02 psnr_y:27.31 psnr_u:43.44 psnr_v:43.93 
n:21 mse_avg:81.42 mse_y:120.74 mse_u:2.94 mse_v:2.63 psnr_avg:29.02 psnr_y:27.31 psnr_u:43.44 psnr_v:43.93 
n:22 mse_avg:89.24 mse_y:132.43 mse_u:3.02 mse_v:2.70 psnr_avg:28.63 psnr_y:26.91 psnr_u:43.34 psnr_v:43.81 
n:23 mse_avg:93.14 mse_y:138.27 mse_u:3.03 mse_v:2.73 psnr_avg:28.44 psnr_y:26.72 psnr_u:43.32 psnr_v:43.77 
n:24 mse_avg:82.07 mse_y:121.68 mse_u:3.00 mse_v:2.69 psnr_avg:28.99 psnr_y:27.28 psnr_u:43.36 psnr_v:43.83 
n:25 mse_avg:79.66 mse_y:118.07 mse_u:2.99 mse_v:2.68 psnr_avg:29.12 psnr_y:27.41 psnr_u:43.37 psnr_v:43.85 
n:26 mse_avg:78.75 mse_y:116.71 mse_u:2.98 mse_v:2.68 psnr_avg:29.17 psnr_y:27.46 psnr_u:43.39 psnr_v:43.85 
n:27 mse_avg:79.71 mse_y:118.15 mse_u:2.98 mse_v:2.68 psnr_avg:29.12 psnr_y:27.41 psnr_u:43.38 psnr_v:43.85 
n:28 mse_avg:77.36 mse_y:114.62 mse_u:2.99 mse_v:2.69 psnr_avg:29.25 psnr_y:27.54 psnr_u:43.37 psnr_v:43.84 
n:29 mse_avg:78.21 mse_y:115.90 mse_u:2.97 mse_v:2.68 psnr_avg:29.20 psnr_y:27.49 psnr_u:43.40 psnr_v:43.85 
n:30 mse_avg:79.56 mse_y:117.91 mse_u:2.99 mse_v:2.69 psnr_avg:29.12 psnr_y:27.42 psnr_u:43.38 psnr_v:43.84 
n:31 mse_avg:83.31 mse_y:123.52 mse_u:3.05 mse_v:2.71 psnr_avg:28.92 psnr_y:27.21 psnr_u:43.29 psnr_v:43.80 
n:32 mse_avg:77.26 mse_y:114.47 mse_u:2.98 mse_v:2.70 psnr_avg:29.25 psnr_y:27.54 psnr_u:43.39 psnr_v:43.81 
n:33 mse_avg:78.21 mse_y:115.89 mse_u:3.00 mse_v:2.72 psnr_avg:29.20 psnr_y:27.49 psnr_u:43.35 psnr_v:43.78 
n:34 mse_avg:76.42 mse_y:113.20 mse_u:2.99 mse_v:2.70 psnr_avg:29.30 psnr_y:27.59 psnr_u:43.37 psnr_v:43.81 
n:35 mse_avg:77.66 mse_y:115.07 mse_u:3.00 mse_v:2.70 psnr_avg:29.23 psnr_y:27.52 psnr_u:43.37 psnr_v:43.81 
n:36 mse_avg:78.47 mse_y:116.27 mse_u:3.01 mse_v:2.72 psnr_avg:29.18 psnr_y:27.48 psnr_u:43.34 psnr_v:43.78 
n:37 mse_avg:84.66 mse_y:125.53 mse_u:3.06 mse_v:2.75 psnr_avg:28.85 psnr_y:27.14 psnr_u:43.28 psnr_v:43.73 
n:38 mse_avg:81.14 mse_y:120.25 mse_u:3.07 mse_v:2.76 psnr_avg:29.04 psnr_y:27.33 psnr_u:43.26 psnr_v:43.72 
n:39 mse_avg:85.99 mse_y:127.52 mse_u:3.09 mse_v:2.77 psnr_avg:28.79 psnr_y:27.08 psnr_u:43.24 psnr_v:43.71 
n:40 mse_avg:78.19 mse_y:115.80 mse_u:3.11 mse_v:2.79 psnr_avg:29.20 psnr_y:27.49 psnr_u:43.21 psnr_v:43.67 
n:41 mse_avg:79.04 mse_y:117.08 mse_u:3.12 mse_v:2.80 psnr_avg:29.15 psnr_y:27.45 psnr_u:43.18 psnr_v:43.66 
n:42 mse_avg:77.15 mse_y:114.24 mse_u:3.12 mse_v:2.82 psnr_avg:29.26 psnr_y:27.55 psnr_u:43.19 psnr_v:43.64 
n:43 mse_avg:76.19 mse_y:112.80 mse_u:3.13 mse_v:2.81 psnr_avg:29.31 psnr_y:27.61 psnr_u:43.17 psnr_v:43.64 
n:44 mse_avg:75.06 mse_y:111.09 mse_u:3.14 mse_v:2.82 psnr_avg:29.38 psnr_y:27.67 psnr_u:43.16 psnr_v:43.62 
n:45 mse_avg:76.80 mse_y:113.70 mse_u:3.16 mse_v:2.84 psnr_avg:29.28 psnr_y:27.57 psnr_u:43.13 psnr_v:43.59 
n:46 mse_avg:77.36 mse_y:114.53 mse_u:3.18 mse_v:2.87 psnr_avg:29.25 psnr_y:27.54 psnr_u:43.10 psnr_v:43.55 
n:47 mse_avg:80.83 mse_y:119.72 mse_u:3.21 mse_v:2.88 psnr_avg:29.06 psnr_y:27.35 psnr_u:43.07 psnr_v:43.54 
n:48 mse_avg:79.55 mse_y:117.81 mse_u:3.20 mse_v:2.87 psnr_avg:29.12 psnr_y:27.42 psnr_u:43.08 psnr_v:43.55 
n:49 mse_avg:79.32 mse_y:117.46 mse_u:3.22 mse_v:2.88 psnr_avg:29.14 psnr_y:27.43 psnr_u:43.06 psnr_v:43.54 
n:50 mse_avg:78.10 mse_y:115.62 mse_u:3.23 mse_v:2.89 psnr_avg:29.20 psnr_y:27.50 psnr_u:43.04 psnr_v:43.52 
n:51 mse_avg:46.79 mse_y:69.02 mse_u:2.41 mse_v:2.23 psnr_avg:31.43 psnr_y:29.74 psnr_u:44.31 psnr_v:44.65 
n:52 mse_avg:64.29 mse_y:95.25 mse_u:2.47 mse_v:2.27 psnr_avg:30.05 psnr_y:28.34 psnr_u:44.21 psnr_v:44.56 
n:53 mse_avg:66.36 mse_y:98.34 mse_u:2.48 mse_v:2.31 psnr_avg:29.91 psnr_y:28.20 psnr_u:44.18 psnr_v:44.50 
n:54 mse_avg:66.47 mse_y:98.51 mse_u:2.49 mse_v:2.30 psnr_avg:29.90 psnr_y:28.20 psnr_u:44.16 psnr_v:44.52 
n:55 mse_avg:72.35 mse_y:107.33 mse_u:2.51 mse_v:2.31 psnr_avg:29.54 psnr_y:27.82 psnr_u:44.14 psnr_v:44.49 
n:56 mse_avg:66.52 mse_y:98.58 mse_u:2.49 mse_v:2.30 psnr_avg:29.90 psnr_y:28.19 psnr_u:44.17 psnr_v:44.52 
n:57 mse_avg:66.57 mse_y:98.67 mse_u:2.49 mse_v:2.29 psnr_avg:29.90 psnr_y:28.19 psnr_u:44.17 psnr_v:44.53 
n:58 mse_avg:64.88 mse_y:96.12 mse_u:2.48 mse_v:2.29 psnr_avg:30.01 psnr_y:28.30 psnr_u:44.18 psnr_v:44.54 
n:59 mse_avg:65.32 mse_y:96.78 mse_u:2.49 mse_v:2.28 psnr_avg:29.98 psnr_y:28.27 psnr_u:44.18 psnr_v:44.54 
n:60 mse_avg:65.19 mse_y:96.59 mse_u:2.50 mse_v:2.30 psnr_avg:29.99 psnr_y:28.28 psnr_u:44.14 psnr_v:44.52 
n:61 mse_avg:67.45 mse_y:99.96 mse_u:2.51 mse_v:2.31 psnr_avg:29.84 psnr_y:28.13 psnr_u:44.13 psnr_v:44.49 
n:62 mse_avg:67.81 mse_y:100.50 mse_u:2.53 mse_v:2.33 psnr_avg:29.82 psnr_y:28.11 psnr_u:44.10 psnr_v:44.46 
n:63 mse_avg:73.26 mse_y:108.66 mse_u:2.57 mse_v:2.35 psnr_avg:29.48 psnr_y:27.77 psnr_u:44.04 psnr_v:44.42 
