n:39 mse_avg:42.02 mse_y:61.88 mse_u:2.42 mse_v:2.16 psnr_avg:31.90 psnr_y:30.22 psnr_u:44.29 psnr_v:44.79 
n:40 mse_avg:37.29 mse_y:54.78 mse_u:2.44 mse_v:2.19 psnr_avg:32.41 psnr_y:30.74 psnr_u:44.25 psnr_v:44.73 
n:41 mse_avg:37.03 mse_y:54.39 mse_u:2.44 mse_v:2.18 psnr_avg:32.45 psnr_y:30.78 psnr_u:44.26 psnr_v:44.75 
n:42 mse_avg:36.13 mse_y:53.03 mse_u:2.45 mse_v:2.19 psnr_avg:32.55 psnr_y:30.89 psnr_u:44.24 psnr_v:44.72 
n:43 mse_avg:36.95 mse_y:54.26 mse_u:2.45 mse_v:2.19 psnr_avg:32.46 psnr_y:30.79 psnr_u:44.24 psnr_v:44.72 
n:44 mse_avg:36.84 mse_y:54.10 mse_u:2.46 mse_v:2.21 psnr_avg:32.47 psnr_y:30.80 psnr_u:44.23 psnr_v:44.69 
n:45 mse_avg:37.49 mse_y:55.06 mse_u:2.47 mse_v:2.22 psnr_avg:32.39 psnr_y:30.72 psnr_u:44.20 psnr_v:44.66 
n:46 mse_avg:38.01 mse_y:55.83 mse_u:2.49 mse_v:2.23 psnr_avg:32.33 psnr_y:30.66 psnr_u:44.17 psnr_v:44.64 
n:47 mse_avg:39.71 mse_y:58.38 mse_u:2.51 mse_v:2.23 psnr_avg:32.14 psnr_y:30.47 psnr_u:44.14 psnr_v:44.64 
n:48 mse_avg:37.70 mse_y:55.35 mse_u:2.52 mse_v:2.25 psnr_avg:32.37 psnr_y:30.70 psnr_u:44.12 psnr_v:44.61 
n:49 mse_avg:37.55 mse_y:55.13 mse_u:2.54 mse_v:2.26 psnr_avg:32.38 psnr_y:30.72 psnr_u:44.09 psnr_v:44.60 
n:50 mse_avg:37.68 mse_y:55.32 mse_u:2.55 mse_v:2.27 psnr_avg:32.37 psnr_y:30.70 psnr_u:44.06 psnr_v:44.57 
n:51 mse_avg:21.01 mse_y:30.71 mse_u:1.66 mse_v:1.54 psnr_avg:34.91 psnr_y:33.26 psnr_u:45.92 psnr_v:46.26 
n:52 mse_avg:29.39 mse_y:43.27 mse_u:1.71 mse_v:1.57 psnr_avg:33.45 psnr_y:31.77 psnr_u:45.81 psnr_v:46.16 
n:53 mse_avg:30.66 mse_y:45.16 mse_u:1.72 mse_v:1.59 psnr_avg:33.27 psnr_y:31.58 psnr_u:45.78 psnr_v:46.12 
n:54 mse_avg:31.07 mse_y:45.78 mse_u:1.73 mse_v:1.60 psnr_avg:33.21 psnr_y:31.52 psnr_u:45.75 psnr_v:46.10 
n:55 mse_avg:33.68 mse_y:49.68 mse_u:1.74 mse_v:1.61 psnr_avg:32.86 psnr_y:31.17 psnr_u:45.73 psnr_v:46.07 
n:56 mse_avg:31.00 mse_y:45.67 mse_u:1.73 mse_v:1.60 psnr_avg:33.22 psnr_y:31.53 psnr_u:45.74 psnr_v:46.10 
n:57 mse_avg:31.18 mse_y:45.94 mse_u:1.73 mse_v:1.60 psnr_avg:33.19 psnr_y:31.51 psnr_u:45.74 psnr_v:46.10 
n:58 mse_avg:30.54 mse_y:44.97 mse_u:1.74 mse_v:1.60 psnr_avg:33.28 psnr_y:31.60 psnr_u:45.73 psnr_v:46.10 
n:59 mse_avg:31.48 mse_y:46.38 mse_u:1.74 mse_v:1.60 psnr_avg:33.15 psnr_y:31.47 psnr_u:45.73 psnr_v:46.09 
n:60 mse_avg:31.31 mse_y:46.12 mse_u:1.76 mse_v:1.61 psnr_avg:33.17 psnr_y:31.49 psnr_u:45.68 psnr_v:46.05 
n:61 mse_avg:31.91 mse_y:47.02 mse_u:1.77 mse_v:1.62 psnr_avg:33.09 psnr_y:31.41 psnr_u:45.66 psnr_v:46.03 
n:62 mse_avg:33.03 mse_y:48.69 mse_u:1.79 mse_v:1.64 psnr_avg:32.94 psnr_y:31.26 psnr_u:45.60 psnr_v:45.98 
n:63 mse_avg:35.56 mse_y:52.47 mse_u:1.82 mse_v:1.66 psnr_avg:32.62 psnr_y:30.93 psnr_u:45.52 psnr_v:45.93 
n:64 mse_avg:34.59 mse_y:51.00 mse_u:1.84 mse_v:1.68 psnr_avg:32.74 psnr_y:31.05 psnr_u:45.47 psnr_v:45.87 
n:65 mse_avg:35.18 mse_y:51.88 mse_u:1.86 mse_v:1.69 psnr_avg:32.67 psnr_y:30.98 psnr_u:45.43 psnr_v:45.85 
n:66 mse_avg:35.18 mse_y:51.86 mse_u:1.89 mse_v:1.71 psnr_avg:32.67 psnr_y:30.98 psnr_u:45.37 psnr_v:45.79 
n:67 mse_avg:41.02 mse_y:60.58 mse_u:1.97 mse_v:1.79 psnr_avg:32.00 psnr_y:30.31 psnr_u:45.18 psnr_v:45.61 
n:68 mse_avg:37.69 mse_y:55.60 mse_u:1.98 mse_v:1.79 psnr_avg:32.37 psnr_y:30.68 psnr_u:45.17 psnr_v:45.60 
n:69 mse_avg:37.45 mse_y:55.24 mse_u:1.99 mse_v:1.80 psnr_avg:32.40 psnr_y:30.71 psnr_u:45.15 psnr_v:45.58 
n:70 mse_avg:38.11 mse_y:56.21 mse_u:2.01 mse_v:1.81 psnr_avg:32.32 psnr_y:30.63 psnr_u:45.10 psnr_v:45.55 
n:71 mse_avg:40.64 mse_y:59.99 mse_u:2.04 mse_v:1.84 psnr_avg:32.04 psnr_y:30.35 psnr_u:45.03 psnr_v:45.48 
n:72 mse_avg:36.19 mse_y:53.31 mse_u:2.04 mse_v:1.84 psnr_avg:32.55 psnr_y:30.86 psnr_u:45.03 psnr_v:45.49 
n:73 mse_avg:35.41 mse_y:52.14 mse_u:2.05 mse_v:1.84 psnr_avg:32.64 psnr_y:30.96 psnr_u:45.02 psnr_v:45.48 
n:74 mse_avg:35.67 mse_y:52.53 mse_u:2.06 mse_v:1.85 psnr_avg:32.61 psnr_y:30.93 psnr_u:44.98 psnr_v:45.45 
n:75 mse_avg:36.73 mse_y:54.11 mse_u:2.08 mse_v:1.86 psnr_avg:32.48 psnr_y:30.80 psnr_u:44.96 psnr_v:45.44 
n:76 mse_avg:35.71 mse_y:52.58 mse_u:2.09 mse_v:1.87 psnr_avg:32.60 psnr_y:30.92 psnr_u:44.94 psnr_v:45.41 
n:77 mse_avg:36.35 mse_y:53.53 mse_u:2.10 mse_v:1.88 psnr_avg:32.53 psnr_y:30.84 psnr_u:44.91 psnr_v:45.39 
n:78 mse_avg:36.78 mse_y:54.16 mse_u:2.12 mse_v:1.89 psnr_avg:32.48 psnr_y:30.79 psnr_u:44.87 psnr_v:45.36 
n:79 mse_avg:39.99 mse_y:58.97 mse_u:2.15 mse_v:1.92 psnr_avg:32.11 psnr_y:30.42 psnr_u:44.80 psnr_v:45.31 
n:80 mse_avg:37.21 mse_y:54.80 mse_u:2.16 mse_v:1.92 psnr_avg:32.42 psnr_y:30.74 psnr_u:44.79 psnr_v:45.30 
n:81 mse_avg:36.69 mse_y:54.02 mse_u:2.16 mse_v:1.93 psnr_avg:32.48 psnr_y:30.81 psnr_u:44.79 psnr_v:45.28 
n:82 mse_avg:38.45 mse_y:56.63 mse_u:2.20 mse_v:1.96 psnr_avg:32.28 psnr_y:30.60 psnr_u:44.70 psnr_v:45.20 
n:83 mse_avg:38.43 mse_y:56.61 mse_u:2.21 mse_v:1.97 psnr_avg:32.28 psnr_y:30.60 psnr_u:44.68 psnr_v:45.19 
n:84 mse_avg:37.44 mse_y:55.10 mse_u:2.23 mse_v:1.99 psnr_avg:32.40 psnr_y:30.72 psnr_u:44.64 psnr_v:45.14 
n:85 mse_avg:37.56 mse_y:55.27 mse_u:2.25 mse_v:2.00 psnr_avg:32.38 psnr_y:30.71 psnr_u:44.61 psnr_v:45.11 
n:86 mse_avg:40.34 mse_y:59.43 mse_u:2.30 mse_v:2.04 psnr_avg:32.07 psnr_y:30.39 psnr_u:44.52 psnr_v:45.03 
n:87 mse_avg:41.33 mse_y:60.89 mse_u:2.32 mse_v:2.06 psnr_avg:31.97 psnr_y:30.29 psnr_u:44.47 psnr_v:45.00 
