n:39 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.04 psnr_y:56.36 psnr_u:59.19 psnr_v:58.58 
n:40 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.32 psnr_u:59.11 psnr_v:58.52 
n:41 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.03 psnr_y:56.35 psnr_u:59.14 psnr_v:58.53 
n:42 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.98 psnr_y:56.30 psnr_u:59.07 psnr_v:58.47 
n:43 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.33 psnr_u:59.06 psnr_v:58.46 
n:44 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.98 psnr_y:56.31 psnr_u:59.03 psnr_v:58.43 
n:45 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.33 psnr_u:59.07 psnr_v:58.48 
n:46 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.97 psnr_y:56.31 psnr_u:59.01 psnr_v:58.43 
n:47 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.99 psnr_y:56.33 psnr_u:59.02 psnr_v:58.43 
n:48 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.97 psnr_y:56.31 psnr_u:58.98 psnr_v:58.44 
n:49 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.07 psnr_y:56.42 psnr_u:59.07 psnr_v:58.48 
n:50 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.33 psnr_u:59.06 psnr_v:58.50 
n:51 mse_avg:0.05 mse_y:0.05 mse_u:0.03 mse_v:0.03 psnr_avg:61.54 psnr_y:60.90 psnr_u:63.46 psnr_v:62.90 
n:52 mse_avg:0.09 mse_y:0.11 mse_u:0.04 mse_v:0.05 psnr_avg:58.62 psnr_y:57.72 psnr_u:61.65 psnr_v:61.00 
n:53 mse_avg:0.09 mse_y:0.12 mse_u:0.05 mse_v:0.05 psnr_avg:58.42 psnr_y:57.52 psnr_u:61.41 psnr_v:60.81 
n:54 mse_avg:0.11 mse_y:0.13 mse_u:0.06 mse_v:0.07 psnr_avg:57.80 psnr_y:56.97 psnr_u:60.47 psnr_v:59.85 
n:55 mse_avg:0.11 mse_y:0.13 mse_u:0.06 mse_v:0.07 psnr_avg:57.67 psnr_y:56.89 psnr_u:60.18 psnr_v:59.60 
n:56 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.44 psnr_y:56.67 psnr_u:59.85 psnr_v:59.30 
n:57 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.39 psnr_y:56.66 psnr_u:59.68 psnr_v:59.10 
n:58 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.37 psnr_y:56.65 psnr_u:59.65 psnr_v:59.03 
n:59 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.32 psnr_y:56.62 psnr_u:59.52 psnr_v:58.92 
n:60 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.30 psnr_y:56.59 psnr_u:59.52 psnr_v:58.92 
n:61 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.27 psnr_y:56.56 psnr_u:59.50 psnr_v:58.89 
n:62 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.28 psnr_y:56.57 psnr_u:59.52 psnr_v:58.91 
n:63 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.35 psnr_y:56.61 psnr_u:59.70 psnr_v:59.07 
n:64 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.73 psnr_y:56.01 psnr_u:58.96 psnr_v:58.40 
n:65 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.58 psnr_y:55.82 psnr_u:59.00 psnr_v:58.41 
n:66 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.53 psnr_y:55.76 psnr_u:58.95 psnr_v:58.37 
n:67 mse_avg:0.15 mse_y:0.17 mse_u:0.08 mse_v:0.10 psnr_avg:56.48 psnr_y:55.72 psnr_u:58.89 psnr_v:58.30 
n:68 mse_avg:0.15 mse_y:0.17 mse_u:0.08 mse_v:0.10 psnr_avg:56.49 psnr_y:55.72 psnr_u:58.96 psnr_v:58.34 
n:69 mse_avg:0.15 mse_y:0.17 mse_u:0.08 mse_v:0.10 psnr_avg:56.48 psnr_y:55.71 psnr_u:58.94 psnr_v:58.33 
n:70 mse_avg:0.15 mse_y:0.17 mse_u:0.08 mse_v:0.10 psnr_avg:56.51 psnr_y:55.74 psnr_u:58.93 psnr_v:58.33 
n:71 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.10 psnr_avg:56.52 psnr_y:55.76 psnr_u:58.93 psnr_v:58.33 
n:72 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.55 psnr_y:55.78 psnr_u:59.00 psnr_v:58.36 
n:73 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.54 psnr_y:55.77 psnr_u:58.98 psnr_v:58.37 
n:74 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.60 psnr_y:55.84 psnr_u:59.00 psnr_v:58.39 
n:75 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.58 psnr_y:55.82 psnr_u:58.98 psnr_v:58.39 
n:76 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.57 psnr_y:55.80 psnr_u:59.01 psnr_v:58.40 
n:77 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.61 psnr_y:55.84 psnr_u:59.04 psnr_v:58.46 
n:78 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.72 psnr_y:55.96 psnr_u:59.14 psnr_v:58.55 
n:79 mse_avg:0.14 mse_y:0.17 mse_u:0.08 mse_v:0.09 psnr_avg:56.73 psnr_y:55.96 psnr_u:59.18 psnr_v:58.62 
n:80 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.80 psnr_y:56.02 psnr_u:59.27 psnr_v:58.71 
n:81 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.88 psnr_y:56.19 psnr_u:58.98 psnr_v:58.41 
n:82 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.82 psnr_y:56.13 psnr_u:58.95 psnr_v:58.37 
n:83 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.79 psnr_y:56.11 psnr_u:58.87 psnr_v:58.28 
n:84 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.78 psnr_y:56.10 psnr_u:58.86 psnr_v:58.27 
n:85 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.09 psnr_u:58.77 psnr_v:58.20 
n:86 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.74 psnr_y:56.10 psnr_u:58.71 psnr_v:58.10 
n:87 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.73 psnr_y:56.09 psnr_u:58.71 psnr_v:58.10 
n:88 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.80 psnr_y:56.13 psnr_u:58.85 psnr_v:58.23 
n:89 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.76 psnr_y:56.10 psnr_u:58.79 psnr_v:58.17 
n:90 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.77 psnr_y:56.11 psnr_u:58.83 psnr_v:58.20 
n:91 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.78 psnr_y:56.12 psnr_u:58.82 psnr_v:58.20 
n:92 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.78 psnr_y:56.11 psnr_u:58.91 psnr_v:58.25 
n:93 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.78 psnr_y:56.10 psnr_u:58.92 psnr_v:58.28 
n:94 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.81 psnr_y:56.11 psnr_u:59.03 psnr_v:58.38 
n:95 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.82 psnr_y:56.11 psnr_u:59.09 psnr_v:58.43 
n:96 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.96 psnr_y:56.23 psnr_u:59.29 psnr_v:58.62 
n:97 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.83 psnr_y:56.11 psnr_u:59.10 psnr_v:58.47 
n:98 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.80 psnr_y:56.08 psnr_u:59.05 psnr_v:58.41 
n:99 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.79 psnr_y:56.10 psnr_u:58.96 psnr_v:58.31 
n:100 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.80 psnr_y:56.12 psnr_u:58.92 psnr_v:58.29 
n:101 mse_avg:0.05 mse_y:0.06 mse_u:0.03 mse_v:0.04 psnr_avg:61.30 psnr_y:60.71 psnr_u:63.10 psnr_v:62.45 
n:102 mse_avg:0.10 mse_y:0.12 mse_u:0.05 mse_v:0.06 psnr_avg:58.30 psnr_y:57.46 psnr_u:61.06 psnr_v:60.37 
n:103 mse_avg:0.11 mse_y:0.13 mse_u:0.06 mse_v:0.07 psnr_avg:57.68 psnr_y:56.90 psnr_u:60.15 psnr_v:59.53 
n:104 mse_avg:0.11 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.53 psnr_y:56.76 psnr_u:59.97 psnr_v:59.35 
n:105 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.41 psnr_y:56.67 psnr_u:59.73 psnr_v:59.14 
n:106 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.36 psnr_y:56.63 psnr_u:59.66 psnr_v:59.05 
n:107 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.99 psnr_y:56.33 psnr_u:59.09 psnr_v:58.42 
n:108 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.95 psnr_y:56.26 psnr_u:59.10 psnr_v:58.45 
n:109 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.91 psnr_y:56.21 psnr_u:59.09 psnr_v:58.46 
n:110 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.93 psnr_y:56.23 psnr_u:59.15 psnr_v:58.54 
n:111 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.93 psnr_y:56.21 psnr_u:59.18 psnr_v:58.59 
n:112 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.05 psnr_y:56.31 psnr_u:59.36 psnr_v:58.76 
n:113 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.86 psnr_y:56.14 psnr_u:59.09 psnr_v:58.48 
n:114 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.85 psnr_y:56.16 psnr_u:59.00 psnr_v:58.41 
n:115 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.79 psnr_y:56.11 psnr_u:58.92 psnr_v:58.31 
n:116 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.81 psnr_y:56.14 psnr_u:58.87 psnr_v:58.27 
n:117 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.76 psnr_y:56.10 psnr_u:58.79 psnr_v:58.20 
n:118 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.09 psnr_u:58.79 psnr_v:58.18 
n:119 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.74 psnr_y:56.09 psnr_u:58.75 psnr_v:58.13 
n:120 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.80 psnr_y:56.14 psnr_u:58.86 psnr_v:58.23 
n:121 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.77 psnr_y:56.12 psnr_u:58.80 psnr_v:58.16 
n:122 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.76 psnr_y:56.11 psnr_u:58.79 psnr_v:58.14 
n:123 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.10 psnr_u:58.78 psnr_v:58.14 
n:124 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.77 psnr_y:56.11 psnr_u:58.86 psnr_v:58.22 
n:125 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.09 psnr_u:58.84 psnr_v:58.20 
n:126 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.75 psnr_y:56.07 psnr_u:58.89 psnr_v:58.28 
n:127 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.78 psnr_y:56.08 psnr_u:58.96 psnr_v:58.33 
n:128 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.88 psnr_y:56.17 psnr_u:59.10 psnr_v:58.47 
n:129 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.82 psnr_y:56.13 psnr_u:58.96 psnr_v:58.34 
n:130 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.81 psnr_y:56.13 psnr_u:58.90 psnr_v:58.30 
n:131 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.76 psnr_y:56.09 psnr_u:58.84 psnr_v:58.23 
n:132 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.80 psnr_y:56.16 psnr_u:58.80 psnr_v:58.19 
n:133 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.76 psnr_y:56.11 psnr_u:58.76 psnr_v:58.15 
n:134 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.76 psnr_y:56.12 psnr_u:58.76 psnr_v:58.14 
n:135 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.10 psnr_u:58.75 psnr_v:58.17 
n:136 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.79 psnr_y:56.13 psnr_u:58.82 psnr_v:58.23 
n:137 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.09 psnr_u:58.76 psnr_v:58.19 
n:138 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.74 psnr_y:56.07 psnr_u:58.77 psnr_v:58.21 
n:139 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.71 psnr_y:56.04 psnr_u:58.75 psnr_v:58.21 
n:140 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.07 psnr_u:58.81 psnr_v:58.26 
n:141 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.72 psnr_y:56.05 psnr_u:58.78 psnr_v:58.25 
n:142 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.76 psnr_y:56.06 psnr_u:58.88 psnr_v:58.34 
n:143 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.78 psnr_y:56.09 psnr_u:58.91 psnr_v:58.37 
n:144 mse_avg:0.13 mse_y:0.16 mse_u:0.08 mse_v:0.09 psnr_avg:56.91 psnr_y:56.19 psnr_u:59.14 psnr_v:58.57 
n:145 mse_avg:0.14 mse_y:0.16 mse_u:0.08 mse_v:0.10 psnr_avg:56.78 psnr_y:56.10 psnr_u:58.86 psnr_v:58.30 
n:146 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.75 psnr_y:56.08 psnr_u:58.80 psnr_v:58.24 
n:147 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.73 psnr_y:56.07 psnr_u:58.74 psnr_v:58.18 
n:148 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.72 psnr_y:56.07 psnr_u:58.72 psnr_v:58.14 
n:149 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.72 psnr_y:56.09 psnr_u:58.62 psnr_v:58.07 
n:150 mse_avg:0.14 mse_y:0.16 mse_u:0.09 mse_v:0.10 psnr_avg:56.69 psnr_y:56.06 psnr_u:58.62 psnr_v:58.06 
n:151 mse_avg:0.05 mse_y:0.06 mse_u:0.03 mse_v:0.04 psnr_avg:61.18 psnr_y:60.65 psnr_u:62.82 psnr_v:62.19 
n:152 mse_avg:0.10 mse_y:0.12 mse_u:0.06 mse_v:0.06 psnr_avg:58.04 psnr_y:57.22 psnr_u:60.72 psnr_v:60.06 
n:153 mse_avg:0.11 mse_y:0.14 mse_u:0.06 mse_v:0.07 psnr_avg:57.57 psnr_y:56.79 psnr_u:60.02 psnr_v:59.42 
n:154 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.42 psnr_y:56.66 psnr_u:59.78 psnr_v:59.21 
n:155 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.27 psnr_y:56.54 psnr_u:59.53 psnr_v:59.00 
n:156 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.31 psnr_y:56.57 psnr_u:59.60 psnr_v:59.07 
n:157 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.25 psnr_y:56.53 psnr_u:59.45 psnr_v:58.94 
n:158 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.27 psnr_y:56.53 psnr_u:59.55 psnr_v:59.05 
n:159 mse_avg:0.12 mse_y:0.15 mse_u:0.07 mse_v:0.08 psnr_avg:57.27 psnr_y:56.52 psnr_u:59.61 psnr_v:59.10 
n:160 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.38 psnr_y:56.61 psnr_u:59.80 psnr_v:59.31 
n:161 mse_avg:0.12 mse_y:0.15 mse_u:0.07 mse_v:0.08 psnr_avg:57.25 psnr_y:56.51 psnr_u:59.50 psnr_v:59.00 
n:162 mse_avg:0.12 mse_y:0.15 mse_u:0.07 mse_v:0.08 psnr_avg:57.24 psnr_y:56.52 psnr_u:59.43 psnr_v:58.94 
