n:1 mse_avg:4.66 mse_y:6.51 mse_u:0.89 mse_v:1.02 psnr_avg:41.45 psnr_y:40.00 psnr_u:48.63 psnr_v:48.04 
n:2 mse_avg:5.41 mse_y:7.60 mse_u:0.91 mse_v:1.14 psnr_avg:40.80 psnr_y:39.32 psnr_u:48.52 psnr_v:47.55 
n:3 mse_avg:5.48 mse_y:7.70 mse_u:0.92 mse_v:1.16 psnr_avg:40.74 psnr_y:39.27 psnr_u:48.49 psnr_v:47.48 
n:4 mse_avg:5.84 mse_y:8.22 mse_u:0.95 mse_v:1.21 psnr_avg:40.47 psnr_y:38.98 psnr_u:48.37 psnr_v:47.30 
n:5 mse_avg:6.19 mse_y:8.72 mse_u:0.96 mse_v:1.31 psnr_avg:40.21 psnr_y:38.73 psnr_u:48.32 psnr_v:46.95 
n:6 mse_avg:6.40 mse_y:9.01 mse_u:0.97 mse_v:1.41 psnr_avg:40.07 psnr_y:38.58 psnr_u:48.28 psnr_v:46.65 
n:7 mse_avg:7.23 mse_y:10.15 mse_u:1.11 mse_v:1.67 psnr_avg:39.54 psnr_y:38.07 psnr_u:47.67 psnr_v:45.90 
n:8 mse_avg:7.03 mse_y:9.86 mse_u:1.10 mse_v:1.65 psnr_avg:39.66 psnr_y:38.19 psnr_u:47.72 psnr_v:45.96 
n:9 mse_avg:7.05 mse_y:9.89 mse_u:1.10 mse_v:1.65 psnr_avg:39.65 psnr_y:38.18 psnr_u:47.72 psnr_v:45.97 
n:10 mse_avg:7.07 mse_y:9.92 mse_u:1.11 mse_v:1.65 psnr_avg:39.64 psnr_y:38.17 psnr_u:47.70 psnr_v:45.96 
n:11 mse_avg:7.35 mse_y:10.33 mse_u:1.11 mse_v:1.66 psnr_avg:39.47 psnr_y:37.99 psnr_u:47.66 psnr_v:45.92 
n:12 mse_avg:6.95 mse_y:9.74 mse_u:1.12 mse_v:1.65 psnr_avg:39.71 psnr_y:38.25 psnr_u:47.65 psnr_v:45.97 
n:13 mse_avg:7.02 mse_y:9.84 mse_u:1.13 mse_v:1.66 psnr_avg:39.67 psnr_y:38.20 psnr_u:47.61 psnr_v:45.92 
n:14 mse_avg:7.15 mse_y:10.02 mse_u:1.13 mse_v:1.66 psnr_avg:39.59 psnr_y:38.12 psnr_u:47.58 psnr_v:45.92 
n:15 mse_avg:7.79 mse_y:10.97 mse_u:1.15 mse_v:1.73 psnr_avg:39.22 psnr_y:37.73 psnr_u:47.54 psnr_v:45.76 
n:16 mse_avg:7.01 mse_y:9.81 mse_u:1.13 mse_v:1.68 psnr_avg:39.68 psnr_y:38.22 psnr_u:47.60 psnr_v:45.87 
n:17 mse_avg:6.99 mse_y:9.78 mse_u:1.14 mse_v:1.70 psnr_avg:39.68 psnr_y:38.23 psnr_u:47.57 psnr_v:45.82 
n:18 mse_avg:6.97 mse_y:9.74 mse_u:1.15 mse_v:1.71 psnr_avg:39.70 psnr_y:38.24 psnr_u:47.54 psnr_v:45.80 
n:19 mse_avg:7.71 mse_y:10.83 mse_u:1.16 mse_v:1.79 psnr_avg:39.26 psnr_y:37.79 psnr_u:47.50 psnr_v:45.61 
n:20 mse_avg:7.22 mse_y:10.11 mse_u:1.14 mse_v:1.75 psnr_avg:39.54 psnr_y:38.08 psnr_u:47.55 psnr_v:45.69 
n:21 mse_avg:7.20 mse_y:10.07 mse_u:1.14 mse_v:1.75 psnr_avg:39.56 psnr_y:38.10 psnr_u:47.57 psnr_v:45.70 
n:22 mse_avg:7.23 mse_y:10.13 mse_u:1.14 mse_v:1.75 psnr_avg:39.54 psnr_y:38.08 psnr_u:47.58 psnr_v:45.70 
n:23 mse_avg:7.33 mse_y:10.27 mse_u:1.14 mse_v:1.75 psnr_avg:39.48 psnr_y:38.01 psnr_u:47.58 psnr_v:45.70 
n:24 mse_avg:7.02 mse_y:9.80 mse_u:1.15 mse_v:1.73 psnr_avg:39.67 psnr_y:38.22 psnr_u:47.52 psnr_v:45.75 
n:25 mse_avg:7.00 mse_y:9.78 mse_u:1.15 mse_v:1.74 psnr_avg:39.68 psnr_y:38.23 psnr_u:47.51 psnr_v:45.72 
n:26 mse_avg:7.66 mse_y:10.75 mse_u:1.18 mse_v:1.77 psnr_avg:39.29 psnr_y:37.82 psnr_u:47.43 psnr_v:45.65 
n:27 mse_avg:7.94 mse_y:11.17 mse_u:1.17 mse_v:1.81 psnr_avg:39.13 psnr_y:37.65 psnr_u:47.47 psnr_v:45.55 
n:28 mse_avg:7.37 mse_y:10.33 mse_u:1.16 mse_v:1.78 psnr_avg:39.45 psnr_y:37.99 psnr_u:47.49 psnr_v:45.63 
n:29 mse_avg:7.41 mse_y:10.39 mse_u:1.16 mse_v:1.79 psnr_avg:39.43 psnr_y:37.97 psnr_u:47.49 psnr_v:45.61 
n:30 mse_avg:7.59 mse_y:10.64 mse_u:1.17 mse_v:1.80 psnr_avg:39.33 psnr_y:37.86 psnr_u:47.45 psnr_v:45.57 
n:31 mse_avg:8.17 mse_y:11.50 mse_u:1.17 mse_v:1.87 psnr_avg:39.01 psnr_y:37.52 psnr_u:47.45 psnr_v:45.41 
n:32 mse_avg:7.34 mse_y:10.29 mse_u:1.16 mse_v:1.74 psnr_avg:39.47 psnr_y:38.01 psnr_u:47.48 psnr_v:45.73 
n:33 mse_avg:7.23 mse_y:10.13 mse_u:1.15 mse_v:1.73 psnr_avg:39.54 psnr_y:38.08 psnr_u:47.52 psnr_v:45.74 
n:34 mse_avg:7.13 mse_y:9.97 mse_u:1.16 mse_v:1.74 psnr_avg:39.60 psnr_y:38.14 psnr_u:47.49 psnr_v:45.73 
n:35 mse_avg:7.30 mse_y:10.21 mse_u:1.16 mse_v:1.78 psnr_avg:39.50 psnr_y:38.04 psnr_u:47.47 psnr_v:45.64 
n:36 mse_avg:6.75 mse_y:9.40 mse_u:1.15 mse_v:1.74 psnr_avg:39.84 psnr_y:38.40 psnr_u:47.53 psnr_v:45.72 
