n:39 mse_avg:141.06 mse_y:206.56 mse_u:9.98 mse_v:10.15 psnr_avg:26.64 psnr_y:24.98 psnr_u:38.14 psnr_v:38.06 
n:40 mse_avg:144.53 mse_y:211.63 mse_u:10.23 mse_v:10.42 psnr_avg:26.53 psnr_y:24.87 psnr_u:38.03 psnr_v:37.95 
n:41 mse_avg:143.37 mse_y:209.90 mse_u:10.15 mse_v:10.46 psnr_avg:26.57 psnr_y:24.91 psnr_u:38.07 psnr_v:37.94 
n:42 mse_avg:144.59 mse_y:211.64 mse_u:10.29 mse_v:10.69 psnr_avg:26.53 psnr_y:24.87 psnr_u:38.01 psnr_v:37.84 
n:43 mse_avg:148.97 mse_y:218.20 mse_u:10.35 mse_v:10.70 psnr_avg:26.40 psnr_y:24.74 psnr_u:37.98 psnr_v:37.84 
n:44 mse_avg:149.14 mse_y:218.36 mse_u:10.49 mse_v:10.89 psnr_avg:26.40 psnr_y:24.74 psnr_u:37.92 psnr_v:37.76 
n:45 mse_avg:148.37 mse_y:217.20 mse_u:10.54 mse_v:10.91 psnr_avg:26.42 psnr_y:24.76 psnr_u:37.90 psnr_v:37.75 
n:46 mse_avg:151.36 mse_y:221.57 mse_u:10.76 mse_v:11.13 psnr_avg:26.33 psnr_y:24.68 psnr_u:37.81 psnr_v:37.67 
n:47 mse_avg:153.36 mse_y:224.53 mse_u:10.83 mse_v:11.17 psnr_avg:26.27 psnr_y:24.62 psnr_u:37.78 psnr_v:37.65 
n:48 mse_avg:155.20 mse_y:227.24 mse_u:10.97 mse_v:11.28 psnr_avg:26.22 psnr_y:24.57 psnr_u:37.73 psnr_v:37.61 
n:49 mse_avg:155.17 mse_y:227.19 mse_u:11.00 mse_v:11.28 psnr_avg:26.22 psnr_y:24.57 psnr_u:37.72 psnr_v:37.61 
n:50 mse_avg:158.98 mse_y:232.81 mse_u:11.20 mse_v:11.46 psnr_avg:26.12 psnr_y:24.46 psnr_u:37.64 psnr_v:37.54 
n:51 mse_avg:165.39 mse_y:242.14 mse_u:11.78 mse_v:11.99 psnr_avg:25.95 psnr_y:24.29 psnr_u:37.42 psnr_v:37.34 
n:52 mse_avg:165.76 mse_y:242.61 mse_u:11.93 mse_v:12.18 psnr_avg:25.94 psnr_y:24.28 psnr_u:37.37 psnr_v:37.27 
n:53 mse_avg:162.51 mse_y:237.80 mse_u:11.77 mse_v:12.12 psnr_avg:26.02 psnr_y:24.37 psnr_u:37.42 psnr_v:37.30 
n:54 mse_avg:162.97 mse_y:238.37 mse_u:12.00 mse_v:12.39 psnr_avg:26.01 psnr_y:24.36 psnr_u:37.34 psnr_v:37.20 
n:55 mse_avg:164.62 mse_y:240.79 mse_u:12.07 mse_v:12.48 psnr_avg:25.97 psnr_y:24.31 psnr_u:37.31 psnr_v:37.17 
