n:1 mse_avg:0.35 mse_y:0.45 mse_u:0.15 mse_v:0.15 psnr_avg:52.67 psnr_y:51.58 psnr_u:56.27 psnr_v:56.41 
n:2 mse_avg:0.53 mse_y:0.71 mse_u:0.18 mse_v:0.18 psnr_avg:50.86 psnr_y:49.61 psnr_u:55.50 psnr_v:55.70 
n:3 mse_avg:0.61 mse_y:0.81 mse_u:0.19 mse_v:0.18 psnr_avg:50.31 psnr_y:49.02 psnr_u:55.31 psnr_v:55.49 
n:4 mse_avg:0.64 mse_y:0.85 mse_u:0.21 mse_v:0.20 psnr_avg:50.09 psnr_y:48.81 psnr_u:54.98 psnr_v:55.19 
n:5 mse_avg:0.66 mse_y:0.88 mse_u:0.21 mse_v:0.21 psnr_avg:49.94 psnr_y:48.67 psnr_u:54.81 psnr_v:54.99 
n:6 mse_avg:0.68 mse_y:0.90 mse_u:0.23 mse_v:0.22 psnr_avg:49.82 psnr_y:48.57 psnr_u:54.58 psnr_v:54.74 
n:7 mse_avg:0.71 mse_y:0.95 mse_u:0.23 mse_v:0.22 psnr_avg:49.63 psnr_y:48.35 psnr_u:54.56 psnr_v:54.67 
n:8 mse_avg:0.71 mse_y:0.95 mse_u:0.24 mse_v:0.23 psnr_avg:49.61 psnr_y:48.36 psnr_u:54.30 psnr_v:54.43 
n:9 mse_avg:0.72 mse_y:0.96 mse_u:0.24 mse_v:0.24 psnr_avg:49.54 psnr_y:48.29 psnr_u:54.27 psnr_v:54.38 
n:10 mse_avg:0.72 mse_y:0.96 mse_u:0.25 mse_v:0.25 psnr_avg:49.53 psnr_y:48.29 psnr_u:54.13 psnr_v:54.23 
n:11 mse_avg:0.76 mse_y:1.01 mse_u:0.25 mse_v:0.25 psnr_avg:49.34 psnr_y:48.08 psnr_u:54.10 psnr_v:54.16 
n:12 mse_avg:0.75 mse_y:1.00 mse_u:0.26 mse_v:0.26 psnr_avg:49.35 psnr_y:48.12 psnr_u:53.95 psnr_v:54.00 
n:13 mse_avg:0.77 mse_y:1.02 mse_u:0.26 mse_v:0.26 psnr_avg:49.27 psnr_y:48.03 psnr_u:53.92 psnr_v:53.98 
n:14 mse_avg:0.76 mse_y:1.00 mse_u:0.27 mse_v:0.26 psnr_avg:49.35 psnr_y:48.13 psnr_u:53.87 psnr_v:53.94 
n:15 mse_avg:0.79 mse_y:1.05 mse_u:0.26 mse_v:0.26 psnr_avg:49.18 psnr_y:47.93 psnr_u:53.96 psnr_v:54.02 
n:16 mse_avg:0.77 mse_y:1.01 mse_u:0.30 mse_v:0.29 psnr_avg:49.24 psnr_y:48.07 psnr_u:53.39 psnr_v:53.56 
n:17 mse_avg:0.77 mse_y:1.01 mse_u:0.30 mse_v:0.29 psnr_avg:49.27 psnr_y:48.09 psnr_u:53.40 psnr_v:53.55 
n:18 mse_avg:0.78 mse_y:1.02 mse_u:0.31 mse_v:0.30 psnr_avg:49.21 psnr_y:48.05 psnr_u:53.24 psnr_v:53.38 
n:19 mse_avg:0.81 mse_y:1.07 mse_u:0.31 mse_v:0.31 psnr_avg:49.02 psnr_y:47.85 psnr_u:53.17 psnr_v:53.28 
n:20 mse_avg:0.81 mse_y:1.06 mse_u:0.32 mse_v:0.31 psnr_avg:49.03 psnr_y:47.87 psnr_u:53.05 psnr_v:53.16 
n:21 mse_avg:0.82 mse_y:1.07 mse_u:0.32 mse_v:0.31 psnr_avg:48.99 psnr_y:47.83 psnr_u:53.06 psnr_v:53.15 
n:22 mse_avg:0.92 mse_y:1.18 mse_u:0.40 mse_v:0.40 psnr_avg:48.50 psnr_y:47.42 psnr_u:52.11 psnr_v:52.15 
n:23 mse_avg:0.99 mse_y:1.27 mse_u:0.41 mse_v:0.41 psnr_avg:48.19 psnr_y:47.08 psnr_u:52.01 psnr_v:52.04 
n:24 mse_avg:0.92 mse_y:1.18 mse_u:0.40 mse_v:0.40 psnr_avg:48.48 psnr_y:47.39 psnr_u:52.08 psnr_v:52.11 
n:25 mse_avg:0.92 mse_y:1.18 mse_u:0.39 mse_v:0.39 psnr_avg:48.50 psnr_y:47.41 psnr_u:52.17 psnr_v:52.19 
n:26 mse_avg:0.91 mse_y:1.16 mse_u:0.39 mse_v:0.39 psnr_avg:48.55 psnr_y:47.47 psnr_u:52.17 psnr_v:52.19 
n:27 mse_avg:0.92 mse_y:1.19 mse_u:0.39 mse_v:0.39 psnr_avg:48.49 psnr_y:47.39 psnr_u:52.24 psnr_v:52.25 
n:28 mse_avg:0.89 mse_y:1.14 mse_u:0.39 mse_v:0.39 psnr_avg:48.62 psnr_y:47.55 psnr_u:52.21 psnr_v:52.23 
n:29 mse_avg:0.90 mse_y:1.16 mse_u:0.39 mse_v:0.39 psnr_avg:48.58 psnr_y:47.49 psnr_u:52.25 psnr_v:52.27 
n:30 mse_avg:0.91 mse_y:1.17 mse_u:0.39 mse_v:0.39 psnr_avg:48.55 psnr_y:47.46 psnr_u:52.22 psnr_v:52.25 
n:31 mse_avg:0.92 mse_y:1.18 mse_u:0.38 mse_v:0.38 psnr_avg:48.52 psnr_y:47.40 psnr_u:52.30 psnr_v:52.33 
n:32 mse_avg:0.88 mse_y:1.12 mse_u:0.40 mse_v:0.39 psnr_avg:48.69 psnr_y:47.63 psnr_u:52.12 psnr_v:52.22 
n:33 mse_avg:0.88 mse_y:1.12 mse_u:0.40 mse_v:0.39 psnr_avg:48.69 psnr_y:47.63 psnr_u:52.15 psnr_v:52.22 
n:34 mse_avg:0.88 mse_y:1.12 mse_u:0.40 mse_v:0.40 psnr_avg:48.68 psnr_y:47.63 psnr_u:52.06 psnr_v:52.13 
n:35 mse_avg:0.89 mse_y:1.14 mse_u:0.40 mse_v:0.40 psnr_avg:48.62 psnr_y:47.55 psnr_u:52.11 psnr_v:52.16 
n:36 mse_avg:0.87 mse_y:1.11 mse_u:0.40 mse_v:0.40 psnr_avg:48.71 psnr_y:47.67 psnr_u:52.07 psnr_v:52.11 
n:37 mse_avg:0.89 mse_y:1.13 mse_u:0.40 mse_v:0.40 psnr_avg:48.65 psnr_y:47.60 psnr_u:52.09 psnr_v:52.12 
n:38 mse_avg:0.90 mse_y:1.15 mse_u:0.41 mse_v:0.41 psnr_avg:48.57 psnr_y:47.51 psnr_u:52.01 psnr_v:52.03 
n:39 mse_avg:0.94 mse_y:1.21 mse_u:0.41 mse_v:0.41 psnr_avg:48.39 psnr_y:47.31 psnr_u:52.00 psnr_v:52.01 
n:40 mse_avg:0.90 mse_y:1.14 mse_u:0.41 mse_v:0.41 psnr_avg:48.59 psnr_y:47.55 psnr_u:51.99 psnr_v:52.00 
n:41 mse_avg:0.89 mse_y:1.14 mse_u:0.40 mse_v:0.40 psnr_avg:48.61 psnr_y:47.56 psnr_u:52.07 psnr_v:52.06 
n:42 mse_avg:0.89 mse_y:1.13 mse_u:0.40 mse_v:0.41 psnr_avg:48.65 psnr_y:47.60 psnr_u:52.06 psnr_v:52.03 
n:43 mse_avg:0.89 mse_y:1.14 mse_u:0.40 mse_v:0.40 psnr_avg:48.61 psnr_y:47.56 psnr_u:52.12 psnr_v:52.08 
n:44 mse_avg:0.88 mse_y:1.11 mse_u:0.40 mse_v:0.41 psnr_avg:48.70 psnr_y:47.66 psnr_u:52.09 psnr_v:52.05 
n:45 mse_avg:0.90 mse_y:1.14 mse_u:0.40 mse_v:0.40 psnr_avg:48.61 psnr_y:47.55 psnr_u:52.11 psnr_v:52.08 
n:46 mse_avg:0.89 mse_y:1.14 mse_u:0.40 mse_v:0.41 psnr_avg:48.63 psnr_y:47.58 psnr_u:52.07 psnr_v:52.05 
n:47 mse_avg:0.91 mse_y:1.17 mse_u:0.40 mse_v:0.40 psnr_avg:48.54 psnr_y:47.46 psnr_u:52.14 psnr_v:52.12 
n:48 mse_avg:0.86 mse_y:1.08 mse_u:0.40 mse_v:0.40 psnr_avg:48.81 psnr_y:47.78 psnr_u:52.11 psnr_v:52.12 
n:49 mse_avg:0.87 mse_y:1.11 mse_u:0.40 mse_v:0.40 psnr_avg:48.72 psnr_y:47.67 psnr_u:52.15 psnr_v:52.15 
n:50 mse_avg:0.85 mse_y:1.08 mse_u:0.40 mse_v:0.39 psnr_avg:48.83 psnr_y:47.80 psnr_u:52.16 psnr_v:52.17 
n:51 mse_avg:0.36 mse_y:0.44 mse_u:0.19 mse_v:0.19 psnr_avg:52.62 psnr_y:51.70 psnr_u:55.34 psnr_v:55.42 
n:52 mse_avg:0.59 mse_y:0.78 mse_u:0.21 mse_v:0.21 psnr_avg:50.44 psnr_y:49.23 psnr_u:54.85 psnr_v:54.97 
n:53 mse_avg:0.67 mse_y:0.89 mse_u:0.23 mse_v:0.22 psnr_avg:49.87 psnr_y:48.62 psnr_u:54.53 psnr_v:54.63 
n:54 mse_avg:0.71 mse_y:0.94 mse_u:0.25 mse_v:0.24 psnr_avg:49.64 psnr_y:48.41 psnr_u:54.22 psnr_v:54.33 
n:55 mse_avg:0.76 mse_y:1.01 mse_u:0.25 mse_v:0.25 psnr_avg:49.34 psnr_y:48.09 psnr_u:54.11 psnr_v:54.19 
n:56 mse_avg:0.71 mse_y:0.94 mse_u:0.26 mse_v:0.25 psnr_avg:49.60 psnr_y:48.39 psnr_u:53.99 psnr_v:54.11 
n:57 mse_avg:0.72 mse_y:0.96 mse_u:0.26 mse_v:0.25 psnr_avg:49.54 psnr_y:48.32 psnr_u:53.99 psnr_v:54.10 
n:58 mse_avg:0.73 mse_y:0.97 mse_u:0.27 mse_v:0.26 psnr_avg:49.48 psnr_y:48.27 psnr_u:53.87 psnr_v:53.97 
n:59 mse_avg:0.75 mse_y:0.99 mse_u:0.27 mse_v:0.26 psnr_avg:49.38 psnr_y:48.16 psnr_u:53.87 psnr_v:53.97 
n:60 mse_avg:0.75 mse_y:0.99 mse_u:0.27 mse_v:0.27 psnr_avg:49.40 psnr_y:48.20 psnr_u:53.75 psnr_v:53.83 
n:61 mse_avg:0.76 mse_y:1.00 mse_u:0.28 mse_v:0.27 psnr_avg:49.34 psnr_y:48.13 psnr_u:53.73 psnr_v:53.79 
n:62 mse_avg:0.76 mse_y:1.00 mse_u:0.28 mse_v:0.28 psnr_avg:49.34 psnr_y:48.15 psnr_u:53.63 psnr_v:53.71 
n:63 mse_avg:0.77 mse_y:1.02 mse_u:0.28 mse_v:0.27 psnr_avg:49.26 psnr_y:48.06 psnr_u:53.67 psnr_v:53.75 
n:64 mse_avg:0.73 mse_y:0.95 mse_u:0.29 mse_v:0.28 psnr_avg:49.49 psnr_y:48.33 psnr_u:53.51 psnr_v:53.65 
n:65 mse_avg:0.74 mse_y:0.96 mse_u:0.29 mse_v:0.28 psnr_avg:49.47 psnr_y:48.30 psnr_u:53.54 psnr_v:53.69 
n:66 mse_avg:0.75 mse_y:0.98 mse_u:0.30 mse_v:0.29 psnr_avg:49.38 psnr_y:48.22 psnr_u:53.43 psnr_v:53.55 
n:67 mse_avg:0.76 mse_y:0.99 mse_u:0.29 mse_v:0.29 psnr_avg:49.34 psnr_y:48.17 psnr_u:53.46 psnr_v:53.57 
n:68 mse_avg:0.75 mse_y:0.98 mse_u:0.30 mse_v:0.29 psnr_avg:49.37 psnr_y:48.22 psnr_u:53.37 psnr_v:53.46 
n:69 mse_avg:0.77 mse_y:1.01 mse_u:0.30 mse_v:0.29 psnr_avg:49.25 psnr_y:48.08 psnr_u:53.37 psnr_v:53.45 
n:70 mse_avg:0.79 mse_y:1.03 mse_u:0.31 mse_v:0.30 psnr_avg:49.18 psnr_y:48.02 psnr_u:53.29 psnr_v:53.35 
n:71 mse_avg:0.80 mse_y:1.05 mse_u:0.30 mse_v:0.30 psnr_avg:49.09 psnr_y:47.91 psnr_u:53.32 psnr_v:53.38 
n:72 mse_avg:0.76 mse_y:0.99 mse_u:0.31 mse_v:0.30 psnr_avg:49.30 psnr_y:48.16 psnr_u:53.24 psnr_v:53.32 
n:73 mse_avg:0.77 mse_y:1.00 mse_u:0.31 mse_v:0.30 psnr_avg:49.28 psnr_y:48.13 psnr_u:53.27 psnr_v:53.35 
n:74 mse_avg:0.76 mse_y:1.00 mse_u:0.31 mse_v:0.30 psnr_avg:49.29 psnr_y:48.15 psnr_u:53.25 psnr_v:53.33 
n:75 mse_avg:0.80 mse_y:1.05 mse_u:0.31 mse_v:0.31 psnr_avg:49.08 psnr_y:47.92 psnr_u:53.19 psnr_v:53.22 
n:76 mse_avg:0.78 mse_y:1.02 mse_u:0.32 mse_v:0.32 psnr_avg:49.18 psnr_y:48.06 psnr_u:53.04 psnr_v:53.07 
n:77 mse_avg:0.79 mse_y:1.03 mse_u:0.32 mse_v:0.32 psnr_avg:49.14 psnr_y:48.01 psnr_u:53.05 psnr_v:53.08 
n:78 mse_avg:0.79 mse_y:1.03 mse_u:0.33 mse_v:0.32 psnr_avg:49.14 psnr_y:48.01 psnr_u:53.01 psnr_v:53.05 
n:79 mse_avg:0.80 mse_y:1.04 mse_u:0.32 mse_v:0.32 psnr_avg:49.12 psnr_y:47.98 psnr_u:53.09 psnr_v:53.12 
n:80 mse_avg:0.80 mse_y:1.00 mse_u:0.38 mse_v:0.38 psnr_avg:49.12 psnr_y:48.11 psnr_u:52.28 psnr_v:52.36 
n:81 mse_avg:0.81 mse_y:1.02 mse_u:0.38 mse_v:0.38 psnr_avg:49.07 psnr_y:48.05 psnr_u:52.33 psnr_v:52.38 
n:82 mse_avg:0.81 mse_y:1.02 mse_u:0.38 mse_v:0.38 psnr_avg:49.05 psnr_y:48.04 psnr_u:52.30 psnr_v:52.33 
n:83 mse_avg:0.83 mse_y:1.06 mse_u:0.38 mse_v:0.38 psnr_avg:48.93 psnr_y:47.89 psnr_u:52.30 psnr_v:52.32 
n:84 mse_avg:0.81 mse_y:1.03 mse_u:0.38 mse_v:0.38 psnr_avg:49.03 psnr_y:48.02 psnr_u:52.28 psnr_v:52.29 
n:85 mse_avg:0.84 mse_y:1.06 mse_u:0.39 mse_v:0.39 psnr_avg:48.90 psnr_y:47.87 psnr_u:52.26 psnr_v:52.22 
n:86 mse_avg:0.84 mse_y:1.06 mse_u:0.39 mse_v:0.39 psnr_avg:48.90 psnr_y:47.88 psnr_u:52.22 psnr_v:52.17 
n:87 mse_avg:0.89 mse_y:1.13 mse_u:0.39 mse_v:0.40 psnr_avg:48.65 psnr_y:47.59 psnr_u:52.18 psnr_v:52.15 
n:88 mse_avg:0.85 mse_y:1.07 mse_u:0.40 mse_v:0.40 psnr_avg:48.85 psnr_y:47.82 psnr_u:52.16 psnr_v:52.15 
