n:1 mse_avg:1.53 mse_y:2.09 mse_u:0.39 mse_v:0.44 psnr_avg:46.28 psnr_y:44.93 psnr_u:52.22 psnr_v:51.74 
n:2 mse_avg:2.33 mse_y:3.29 mse_u:0.40 mse_v:0.45 psnr_avg:44.45 psnr_y:42.96 psnr_u:52.13 psnr_v:51.62 
n:3 mse_avg:2.66 mse_y:3.78 mse_u:0.41 mse_v:0.46 psnr_avg:43.88 psnr_y:42.36 psnr_u:52.00 psnr_v:51.50 
n:4 mse_avg:2.64 mse_y:3.73 mse_u:0.42 mse_v:0.47 psnr_avg:43.92 psnr_y:42.41 psnr_u:51.94 psnr_v:51.39 
n:5 mse_avg:2.91 mse_y:4.13 mse_u:0.43 mse_v:0.49 psnr_avg:43.50 psnr_y:41.97 psnr_u:51.84 psnr_v:51.23 
n:6 mse_avg:3.09 mse_y:4.39 mse_u:0.44 mse_v:0.51 psnr_avg:43.24 psnr_y:41.70 psnr_u:51.69 psnr_v:51.04 
n:7 mse_avg:3.18 mse_y:4.54 mse_u:0.45 mse_v:0.51 psnr_avg:43.10 psnr_y:41.56 psnr_u:51.62 psnr_v:51.02 
n:8 mse_avg:2.93 mse_y:4.11 mse_u:0.54 mse_v:0.60 psnr_avg:43.46 psnr_y:41.99 psnr_u:50.82 psnr_v:50.35 
n:9 mse_avg:2.99 mse_y:4.20 mse_u:0.55 mse_v:0.61 psnr_avg:43.37 psnr_y:41.90 psnr_u:50.76 psnr_v:50.29 
n:10 mse_avg:2.97 mse_y:4.17 mse_u:0.55 mse_v:0.62 psnr_avg:43.40 psnr_y:41.93 psnr_u:50.72 psnr_v:50.24 
n:11 mse_avg:3.13 mse_y:4.41 mse_u:0.56 mse_v:0.62 psnr_avg:43.17 psnr_y:41.69 psnr_u:50.67 psnr_v:50.19 
n:12 mse_avg:2.96 mse_y:4.13 mse_u:0.57 mse_v:0.64 psnr_avg:43.42 psnr_y:41.97 psnr_u:50.60 psnr_v:50.08 
n:13 mse_avg:3.07 mse_y:4.29 mse_u:0.58 mse_v:0.65 psnr_avg:43.26 psnr_y:41.80 psnr_u:50.53 psnr_v:50.02 
n:14 mse_avg:3.08 mse_y:4.31 mse_u:0.59 mse_v:0.66 psnr_avg:43.25 psnr_y:41.79 psnr_u:50.45 psnr_v:49.93 
n:15 mse_avg:3.31 mse_y:4.65 mse_u:0.59 mse_v:0.67 psnr_avg:42.93 psnr_y:41.45 psnr_u:50.41 psnr_v:49.88 
n:16 mse_avg:3.03 mse_y:4.23 mse_u:0.59 mse_v:0.67 psnr_avg:43.32 psnr_y:41.87 psnr_u:50.40 psnr_v:49.86 
n:17 mse_avg:3.11 mse_y:4.34 mse_u:0.60 mse_v:0.67 psnr_avg:43.21 psnr_y:41.75 psnr_u:50.37 psnr_v:49.87 
n:18 mse_avg:3.07 mse_y:4.29 mse_u:0.60 mse_v:0.68 psnr_avg:43.26 psnr_y:41.81 psnr_u:50.33 psnr_v:49.81 
n:19 mse_avg:3.25 mse_y:4.55 mse_u:0.61 mse_v:0.69 psnr_avg:43.01 psnr_y:41.55 psnr_u:50.27 psnr_v:49.77 
n:20 mse_avg:3.08 mse_y:4.29 mse_u:0.62 mse_v:0.69 psnr_avg:43.24 psnr_y:41.80 psnr_u:50.24 psnr_v:49.73 
n:21 mse_avg:3.19 mse_y:4.45 mse_u:0.63 mse_v:0.70 psnr_avg:43.09 psnr_y:41.65 psnr_u:50.17 psnr_v:49.66 
n:22 mse_avg:3.16 mse_y:4.40 mse_u:0.63 mse_v:0.71 psnr_avg:43.14 psnr_y:41.70 psnr_u:50.12 psnr_v:49.63 
n:23 mse_avg:3.41 mse_y:4.78 mse_u:0.64 mse_v:0.71 psnr_avg:42.80 psnr_y:41.34 psnr_u:50.05 psnr_v:49.59 
n:24 mse_avg:3.11 mse_y:4.33 mse_u:0.63 mse_v:0.71 psnr_avg:43.20 psnr_y:41.76 psnr_u:50.11 psnr_v:49.62 
n:25 mse_avg:3.05 mse_y:4.25 mse_u:0.63 mse_v:0.70 psnr_avg:43.28 psnr_y:41.85 psnr_u:50.15 psnr_v:49.68 
n:26 mse_avg:3.01 mse_y:4.18 mse_u:0.63 mse_v:0.70 psnr_avg:43.35 psnr_y:41.92 psnr_u:50.15 psnr_v:49.69 
n:27 mse_avg:3.15 mse_y:4.40 mse_u:0.63 mse_v:0.70 psnr_avg:43.14 psnr_y:41.70 psnr_u:50.14 psnr_v:49.69 
n:28 mse_avg:3.03 mse_y:4.21 mse_u:0.64 mse_v:0.71 psnr_avg:43.32 psnr_y:41.89 psnr_u:50.10 psnr_v:49.65 
n:29 mse_avg:3.10 mse_y:4.32 mse_u:0.64 mse_v:0.71 psnr_avg:43.21 psnr_y:41.78 psnr_u:50.07 psnr_v:49.61 
n:30 mse_avg:3.13 mse_y:4.35 mse_u:0.65 mse_v:0.72 psnr_avg:43.18 psnr_y:41.74 psnr_u:50.02 psnr_v:49.56 
n:31 mse_avg:3.35 mse_y:4.68 mse_u:0.65 mse_v:0.73 psnr_avg:42.88 psnr_y:41.43 psnr_u:49.97 psnr_v:49.53 
n:32 mse_avg:3.11 mse_y:4.32 mse_u:0.65 mse_v:0.73 psnr_avg:43.21 psnr_y:41.78 psnr_u:49.98 psnr_v:49.52 
n:33 mse_avg:3.09 mse_y:4.29 mse_u:0.65 mse_v:0.73 psnr_avg:43.23 psnr_y:41.81 psnr_u:49.98 psnr_v:49.52 
n:34 mse_avg:3.10 mse_y:4.30 mse_u:0.66 mse_v:0.73 psnr_avg:43.22 psnr_y:41.79 psnr_u:49.95 psnr_v:49.50 
n:35 mse_avg:3.27 mse_y:4.56 mse_u:0.65 mse_v:0.73 psnr_avg:42.98 psnr_y:41.54 psnr_u:49.97 psnr_v:49.49 
n:36 mse_avg:3.14 mse_y:4.36 mse_u:0.66 mse_v:0.74 psnr_avg:43.16 psnr_y:41.73 psnr_u:49.94 psnr_v:49.46 
n:37 mse_avg:3.30 mse_y:4.59 mse_u:0.67 mse_v:0.75 psnr_avg:42.95 psnr_y:41.51 psnr_u:49.87 psnr_v:49.37 
n:38 mse_avg:3.23 mse_y:4.49 mse_u:0.67 mse_v:0.75 psnr_avg:43.04 psnr_y:41.61 psnr_u:49.86 psnr_v:49.39 
n:39 mse_avg:3.40 mse_y:4.74 mse_u:0.68 mse_v:0.75 psnr_avg:42.82 psnr_y:41.37 psnr_u:49.84 psnr_v:49.39 
n:40 mse_avg:3.11 mse_y:4.31 mse_u:0.67 mse_v:0.75 psnr_avg:43.21 psnr_y:41.79 psnr_u:49.84 psnr_v:49.37 
n:41 mse_avg:3.10 mse_y:4.29 mse_u:0.67 mse_v:0.74 psnr_avg:43.22 psnr_y:41.81 psnr_u:49.86 psnr_v:49.41 
n:42 mse_avg:3.03 mse_y:4.19 mse_u:0.67 mse_v:0.75 psnr_avg:43.32 psnr_y:41.91 psnr_u:49.85 psnr_v:49.40 
n:43 mse_avg:3.11 mse_y:4.31 mse_u:0.67 mse_v:0.75 psnr_avg:43.21 psnr_y:41.79 psnr_u:49.86 psnr_v:49.41 
