n:1 mse_avg:9.17 mse_y:12.76 mse_u:2.23 mse_v:1.71 psnr_avg:38.51 psnr_y:37.07 psnr_u:44.64 psnr_v:45.81 
n:2 mse_avg:37.72 mse_y:55.47 mse_u:2.54 mse_v:1.91 psnr_avg:32.37 psnr_y:30.69 psnr_u:44.09 psnr_v:45.32 
n:3 mse_avg:38.80 mse_y:57.12 mse_u:2.44 mse_v:1.87 psnr_avg:32.24 psnr_y:30.56 psnr_u:44.27 psnr_v:45.42 
n:4 mse_avg:59.31 mse_y:87.64 mse_u:2.94 mse_v:2.37 psnr_avg:30.40 psnr_y:28.70 psnr_u:43.45 psnr_v:44.39 
n:5 mse_avg:58.06 mse_y:85.77 mse_u:2.89 mse_v:2.35 psnr_avg:30.49 psnr_y:28.80 psnr_u:43.52 psnr_v:44.42 
n:6 mse_avg:74.89 mse_y:110.71 mse_u:3.52 mse_v:2.97 psnr_avg:29.39 psnr_y:27.69 psnr_u:42.67 psnr_v:43.40 
n:7 mse_avg:71.71 mse_y:105.96 mse_u:3.48 mse_v:2.94 psnr_avg:29.57 psnr_y:27.88 psnr_u:42.71 psnr_v:43.45 
n:8 mse_avg:83.42 mse_y:123.20 mse_u:4.14 mse_v:3.56 psnr_avg:28.92 psnr_y:27.22 psnr_u:41.96 psnr_v:42.62 
n:9 mse_avg:82.75 mse_y:122.21 mse_u:4.14 mse_v:3.55 psnr_avg:28.95 psnr_y:27.26 psnr_u:41.96 psnr_v:42.63 
n:10 mse_avg:91.97 mse_y:135.70 mse_u:4.81 mse_v:4.20 psnr_avg:28.49 psnr_y:26.80 psnr_u:41.31 psnr_v:41.90 
n:11 mse_avg:88.84 mse_y:131.02 mse_u:4.76 mse_v:4.16 psnr_avg:28.64 psnr_y:26.96 psnr_u:41.35 psnr_v:41.94 
n:12 mse_avg:95.78 mse_y:141.15 mse_u:5.35 mse_v:4.74 psnr_avg:28.32 psnr_y:26.63 psnr_u:40.85 psnr_v:41.37 
n:13 mse_avg:96.71 mse_y:142.53 mse_u:5.37 mse_v:4.75 psnr_avg:28.28 psnr_y:26.59 psnr_u:40.83 psnr_v:41.37 
n:14 mse_avg:103.98 mse_y:153.16 mse_u:5.97 mse_v:5.29 psnr_avg:27.96 psnr_y:26.28 psnr_u:40.37 psnr_v:40.90 
n:15 mse_avg:101.73 mse_y:149.80 mse_u:5.87 mse_v:5.29 psnr_avg:28.06 psnr_y:26.38 psnr_u:40.45 psnr_v:40.90 
