n:1 mse_avg:18.71 mse_y:27.03 mse_u:1.98 mse_v:2.15 psnr_avg:35.41 psnr_y:33.81 psnr_u:45.16 psnr_v:44.80 
n:2 mse_avg:20.41 mse_y:29.53 mse_u:1.99 mse_v:2.33 psnr_avg:35.03 psnr_y:33.43 psnr_u:45.14 psnr_v:44.46 
n:3 mse_avg:20.57 mse_y:29.76 mse_u:2.00 mse_v:2.38 psnr_avg:35.00 psnr_y:33.39 psnr_u:45.12 psnr_v:44.37 
n:4 mse_avg:21.22 mse_y:30.71 mse_u:2.04 mse_v:2.47 psnr_avg:34.86 psnr_y:33.26 psnr_u:45.04 psnr_v:44.21 
n:5 mse_avg:21.65 mse_y:31.30 mse_u:2.07 mse_v:2.63 psnr_avg:34.78 psnr_y:33.18 psnr_u:44.97 psnr_v:43.94 
n:6 mse_avg:22.01 mse_y:31.81 mse_u:2.09 mse_v:2.75 psnr_avg:34.70 psnr_y:33.10 psnr_u:44.94 psnr_v:43.74 
n:7 mse_avg:22.24 mse_y:31.95 mse_u:2.13 mse_v:3.50 psnr_avg:34.66 psnr_y:33.09 psnr_u:44.84 psnr_v:42.69 
n:8 mse_avg:22.10 mse_y:31.76 mse_u:2.12 mse_v:3.46 psnr_avg:34.69 psnr_y:33.11 psnr_u:44.87 psnr_v:42.73 
n:9 mse_avg:22.14 mse_y:31.81 mse_u:2.14 mse_v:3.48 psnr_avg:34.68 psnr_y:33.11 psnr_u:44.83 psnr_v:42.72 
n:10 mse_avg:22.25 mse_y:31.95 mse_u:2.15 mse_v:3.53 psnr_avg:34.66 psnr_y:33.09 psnr_u:44.80 psnr_v:42.66 
n:11 mse_avg:22.77 mse_y:32.72 mse_u:2.17 mse_v:3.56 psnr_avg:34.56 psnr_y:32.98 psnr_u:44.76 psnr_v:42.62 
n:12 mse_avg:22.26 mse_y:31.96 mse_u:2.20 mse_v:3.55 psnr_avg:34.65 psnr_y:33.08 psnr_u:44.71 psnr_v:42.63 
n:13 mse_avg:22.35 mse_y:32.07 mse_u:2.21 mse_v:3.61 psnr_avg:34.64 psnr_y:33.07 psnr_u:44.68 psnr_v:42.56 
n:14 mse_avg:22.58 mse_y:32.39 mse_u:2.24 mse_v:3.68 psnr_avg:34.59 psnr_y:33.03 psnr_u:44.62 psnr_v:42.47 
n:15 mse_avg:23.56 mse_y:33.80 mse_u:2.28 mse_v:3.91 psnr_avg:34.41 psnr_y:32.84 psnr_u:44.55 psnr_v:42.21 
n:16 mse_avg:22.43 mse_y:32.11 mse_u:2.27 mse_v:3.86 psnr_avg:34.62 psnr_y:33.06 psnr_u:44.57 psnr_v:42.27 
n:17 mse_avg:22.40 mse_y:32.06 mse_u:2.30 mse_v:3.89 psnr_avg:34.63 psnr_y:33.07 psnr_u:44.52 psnr_v:42.23 
n:18 mse_avg:22.42 mse_y:32.07 mse_u:2.32 mse_v:3.91 psnr_avg:34.62 psnr_y:33.07 psnr_u:44.48 psnr_v:42.20 
n:19 mse_avg:23.63 mse_y:33.77 mse_u:2.35 mse_v:4.38 psnr_avg:34.40 psnr_y:32.85 psnr_u:44.43 psnr_v:41.71 
n:20 mse_avg:22.90 mse_y:32.69 mse_u:2.33 mse_v:4.29 psnr_avg:34.53 psnr_y:32.99 psnr_u:44.47 psnr_v:41.81 
n:21 mse_avg:22.85 mse_y:32.62 mse_u:2.32 mse_v:4.28 psnr_avg:34.54 psnr_y:33.00 psnr_u:44.48 psnr_v:41.81 
n:22 mse_avg:22.85 mse_y:32.63 mse_u:2.32 mse_v:4.29 psnr_avg:34.54 psnr_y:32.99 psnr_u:44.48 psnr_v:41.81 
n:23 mse_avg:22.94 mse_y:32.75 mse_u:2.33 mse_v:4.32 psnr_avg:34.52 psnr_y:32.98 psnr_u:44.47 psnr_v:41.78 
n:24 mse_avg:22.56 mse_y:32.20 mse_u:2.35 mse_v:4.23 psnr_avg:34.60 psnr_y:33.05 psnr_u:44.42 psnr_v:41.87 
n:25 mse_avg:22.52 mse_y:32.12 mse_u:2.37 mse_v:4.27 psnr_avg:34.61 psnr_y:33.06 psnr_u:44.39 psnr_v:41.82 
n:26 mse_avg:23.45 mse_y:33.54 mse_u:2.48 mse_v:4.08 psnr_avg:34.43 psnr_y:32.88 psnr_u:44.19 psnr_v:42.02 
n:27 mse_avg:23.95 mse_y:34.25 mse_u:2.49 mse_v:4.19 psnr_avg:34.34 psnr_y:32.78 psnr_u:44.16 psnr_v:41.91 
n:28 mse_avg:23.13 mse_y:33.04 mse_u:2.50 mse_v:4.12 psnr_avg:34.49 psnr_y:32.94 psnr_u:44.15 psnr_v:41.99 
n:29 mse_avg:23.14 mse_y:33.05 mse_u:2.49 mse_v:4.12 psnr_avg:34.49 psnr_y:32.94 psnr_u:44.17 psnr_v:41.98 
n:30 mse_avg:23.34 mse_y:33.34 mse_u:2.50 mse_v:4.18 psnr_avg:34.45 psnr_y:32.90 psnr_u:44.14 psnr_v:41.92 
n:31 mse_avg:24.22 mse_y:34.60 mse_u:2.52 mse_v:4.41 psnr_avg:34.29 psnr_y:32.74 psnr_u:44.12 psnr_v:41.69 
n:32 mse_avg:23.14 mse_y:33.01 mse_u:2.51 mse_v:4.28 psnr_avg:34.49 psnr_y:32.94 psnr_u:44.14 psnr_v:41.81 
n:33 mse_avg:22.93 mse_y:32.70 mse_u:2.51 mse_v:4.30 psnr_avg:34.53 psnr_y:32.99 psnr_u:44.13 psnr_v:41.80 
n:34 mse_avg:22.78 mse_y:32.46 mse_u:2.52 mse_v:4.29 psnr_avg:34.56 psnr_y:33.02 psnr_u:44.12 psnr_v:41.81 
n:35 mse_avg:23.19 mse_y:33.06 mse_u:2.52 mse_v:4.41 psnr_avg:34.48 psnr_y:32.94 psnr_u:44.12 psnr_v:41.69 
n:36 mse_avg:22.38 mse_y:31.86 mse_u:2.51 mse_v:4.33 psnr_avg:34.63 psnr_y:33.10 psnr_u:44.13 psnr_v:41.77 
