n:1 mse_avg:0.11 mse_y:0.13 mse_u:0.06 mse_v:0.06 psnr_avg:57.73 psnr_y:56.84 psnr_u:60.08 psnr_v:60.64 
n:2 mse_avg:0.25 mse_y:0.33 mse_u:0.09 mse_v:0.08 psnr_avg:54.24 psnr_y:52.99 psnr_u:58.70 psnr_v:59.27 
n:3 mse_avg:0.26 mse_y:0.34 mse_u:0.10 mse_v:0.09 psnr_avg:54.00 psnr_y:52.83 psnr_u:57.95 psnr_v:58.51 
n:4 mse_avg:0.27 mse_y:0.35 mse_u:0.12 mse_v:0.10 psnr_avg:53.81 psnr_y:52.68 psnr_u:57.48 psnr_v:58.01 
n:5 mse_avg:0.27 mse_y:0.34 mse_u:0.12 mse_v:0.11 psnr_avg:53.85 psnr_y:52.76 psnr_u:57.26 psnr_v:57.79 
n:6 mse_avg:0.27 mse_y:0.35 mse_u:0.12 mse_v:0.11 psnr_avg:53.84 psnr_y:52.73 psnr_u:57.35 psnr_v:57.89 
n:7 mse_avg:0.25 mse_y:0.35 mse_u:0.07 mse_v:0.06 psnr_avg:54.09 psnr_y:52.70 psnr_u:59.88 psnr_v:60.50 
n:8 mse_avg:0.26 mse_y:0.36 mse_u:0.08 mse_v:0.07 psnr_avg:53.92 psnr_y:52.59 psnr_u:59.11 psnr_v:59.79 
n:9 mse_avg:0.27 mse_y:0.36 mse_u:0.09 mse_v:0.08 psnr_avg:53.81 psnr_y:52.52 psnr_u:58.58 psnr_v:59.22 
n:10 mse_avg:0.27 mse_y:0.36 mse_u:0.10 mse_v:0.09 psnr_avg:53.78 psnr_y:52.54 psnr_u:58.14 psnr_v:58.74 
n:11 mse_avg:0.28 mse_y:0.37 mse_u:0.11 mse_v:0.09 psnr_avg:53.66 psnr_y:52.45 psnr_u:57.91 psnr_v:58.50 
n:12 mse_avg:0.27 mse_y:0.36 mse_u:0.10 mse_v:0.09 psnr_avg:53.77 psnr_y:52.56 psnr_u:57.95 psnr_v:58.52 
n:13 mse_avg:0.28 mse_y:0.36 mse_u:0.11 mse_v:0.09 psnr_avg:53.72 psnr_y:52.52 psnr_u:57.87 psnr_v:58.45 
n:14 mse_avg:0.28 mse_y:0.36 mse_u:0.11 mse_v:0.10 psnr_avg:53.69 psnr_y:52.52 psnr_u:57.61 psnr_v:58.17 
n:15 mse_avg:0.28 mse_y:0.37 mse_u:0.11 mse_v:0.10 psnr_avg:53.61 psnr_y:52.42 psnr_u:57.64 psnr_v:58.20 
