n:39 mse_avg:0.46 mse_y:0.58 mse_u:0.23 mse_v:0.24 psnr_avg:51.48 psnr_y:50.53 psnr_u:54.43 psnr_v:54.34 
n:40 mse_avg:0.45 mse_y:0.56 mse_u:0.24 mse_v:0.24 psnr_avg:51.57 psnr_y:50.64 psnr_u:54.39 psnr_v:54.31 
n:41 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.24 psnr_avg:51.60 psnr_y:50.67 psnr_u:54.48 psnr_v:54.40 
n:42 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.24 psnr_avg:51.59 psnr_y:50.67 psnr_u:54.45 psnr_v:54.34 
n:43 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.23 psnr_avg:51.60 psnr_y:50.65 psnr_u:54.54 psnr_v:54.43 
n:44 mse_avg:0.45 mse_y:0.55 mse_u:0.23 mse_v:0.24 psnr_avg:51.64 psnr_y:50.72 psnr_u:54.51 psnr_v:54.38 
n:45 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.23 psnr_avg:51.62 psnr_y:50.68 psnr_u:54.54 psnr_v:54.43 
n:46 mse_avg:0.45 mse_y:0.55 mse_u:0.23 mse_v:0.24 psnr_avg:51.62 psnr_y:50.69 psnr_u:54.49 psnr_v:54.39 
n:47 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.23 psnr_avg:51.60 psnr_y:50.65 psnr_u:54.60 psnr_v:54.52 
n:48 mse_avg:0.44 mse_y:0.54 mse_u:0.23 mse_v:0.23 psnr_avg:51.72 psnr_y:50.80 psnr_u:54.46 psnr_v:54.46 
n:49 mse_avg:0.44 mse_y:0.55 mse_u:0.23 mse_v:0.23 psnr_avg:51.68 psnr_y:50.75 psnr_u:54.51 psnr_v:54.48 
n:50 mse_avg:0.44 mse_y:0.54 mse_u:0.23 mse_v:0.23 psnr_avg:51.71 psnr_y:50.79 psnr_u:54.51 psnr_v:54.48 
n:51 mse_avg:0.17 mse_y:0.20 mse_u:0.11 mse_v:0.11 psnr_avg:55.71 psnr_y:55.02 psnr_u:57.54 psnr_v:57.56 
n:52 mse_avg:0.31 mse_y:0.40 mse_u:0.14 mse_v:0.14 psnr_avg:53.22 psnr_y:52.15 psnr_u:56.70 psnr_v:56.78 
n:53 mse_avg:0.34 mse_y:0.44 mse_u:0.15 mse_v:0.15 psnr_avg:52.78 psnr_y:51.71 psnr_u:56.35 psnr_v:56.41 
n:54 mse_avg:0.36 mse_y:0.46 mse_u:0.16 mse_v:0.16 psnr_avg:52.58 psnr_y:51.53 psnr_u:56.02 psnr_v:56.07 
n:55 mse_avg:0.37 mse_y:0.48 mse_u:0.16 mse_v:0.16 psnr_avg:52.39 psnr_y:51.32 psnr_u:55.96 psnr_v:56.00 
n:56 mse_avg:0.37 mse_y:0.47 mse_u:0.17 mse_v:0.17 psnr_avg:52.45 psnr_y:51.42 psnr_u:55.77 psnr_v:55.84 
n:57 mse_avg:0.37 mse_y:0.47 mse_u:0.17 mse_v:0.17 psnr_avg:52.41 psnr_y:51.37 psnr_u:55.75 psnr_v:55.81 
n:58 mse_avg:0.38 mse_y:0.48 mse_u:0.18 mse_v:0.18 psnr_avg:52.35 psnr_y:51.33 psnr_u:55.64 psnr_v:55.69 
n:59 mse_avg:0.38 mse_y:0.49 mse_u:0.18 mse_v:0.17 psnr_avg:52.30 psnr_y:51.26 psnr_u:55.68 psnr_v:55.73 
n:60 mse_avg:0.38 mse_y:0.48 mse_u:0.18 mse_v:0.18 psnr_avg:52.31 psnr_y:51.29 psnr_u:55.59 psnr_v:55.62 
n:61 mse_avg:0.39 mse_y:0.49 mse_u:0.18 mse_v:0.18 psnr_avg:52.27 psnr_y:51.25 psnr_u:55.58 psnr_v:55.59 
n:62 mse_avg:0.38 mse_y:0.49 mse_u:0.18 mse_v:0.18 psnr_avg:52.28 psnr_y:51.26 psnr_u:55.50 psnr_v:55.54 
n:63 mse_avg:0.39 mse_y:0.49 mse_u:0.18 mse_v:0.18 psnr_avg:52.25 psnr_y:51.21 psnr_u:55.59 psnr_v:55.63 
n:64 mse_avg:0.38 mse_y:0.48 mse_u:0.19 mse_v:0.18 psnr_avg:52.34 psnr_y:51.35 psnr_u:55.36 psnr_v:55.49 
n:65 mse_avg:0.38 mse_y:0.48 mse_u:0.19 mse_v:0.18 psnr_avg:52.32 psnr_y:51.33 psnr_u:55.39 psnr_v:55.53 
n:66 mse_avg:0.39 mse_y:0.49 mse_u:0.19 mse_v:0.19 psnr_avg:52.24 psnr_y:51.26 psnr_u:55.27 psnr_v:55.37 
n:67 mse_avg:0.39 mse_y:0.49 mse_u:0.19 mse_v:0.19 psnr_avg:52.23 psnr_y:51.23 psnr_u:55.34 psnr_v:55.43 
n:68 mse_avg:0.39 mse_y:0.49 mse_u:0.19 mse_v:0.19 psnr_avg:52.24 psnr_y:51.27 psnr_u:55.23 psnr_v:55.30 
n:69 mse_avg:0.39 mse_y:0.49 mse_u:0.19 mse_v:0.19 psnr_avg:52.18 psnr_y:51.19 psnr_u:55.28 psnr_v:55.31 
n:70 mse_avg:0.40 mse_y:0.50 mse_u:0.20 mse_v:0.20 psnr_avg:52.12 psnr_y:51.13 psnr_u:55.20 psnr_v:55.22 
n:71 mse_avg:0.40 mse_y:0.51 mse_u:0.19 mse_v:0.19 psnr_avg:52.08 psnr_y:51.07 psnr_u:55.29 psnr_v:55.32 
n:72 mse_avg:0.39 mse_y:0.49 mse_u:0.20 mse_v:0.19 psnr_avg:52.17 psnr_y:51.20 psnr_u:55.19 psnr_v:55.24 
n:73 mse_avg:0.39 mse_y:0.49 mse_u:0.19 mse_v:0.19 psnr_avg:52.18 psnr_y:51.20 psnr_u:55.24 psnr_v:55.28 
