n:39 mse_avg:0.77 mse_y:0.86 mse_u:0.63 mse_v:0.59 psnr_avg:49.25 psnr_y:48.80 psnr_u:50.16 psnr_v:50.44 
n:40 mse_avg:0.76 mse_y:0.85 mse_u:0.62 mse_v:0.58 psnr_avg:49.30 psnr_y:48.85 psnr_u:50.22 psnr_v:50.51 
n:41 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.58 psnr_avg:49.30 psnr_y:48.87 psnr_u:50.17 psnr_v:50.49 
n:42 mse_avg:0.75 mse_y:0.83 mse_u:0.62 mse_v:0.58 psnr_avg:49.35 psnr_y:48.93 psnr_u:50.19 psnr_v:50.49 
n:43 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.59 psnr_avg:49.31 psnr_y:48.90 psnr_u:50.14 psnr_v:50.43 
n:44 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.59 psnr_avg:49.31 psnr_y:48.91 psnr_u:50.12 psnr_v:50.41 
n:45 mse_avg:0.78 mse_y:0.86 mse_u:0.63 mse_v:0.59 psnr_avg:49.23 psnr_y:48.80 psnr_u:50.11 psnr_v:50.40 
n:46 mse_avg:0.77 mse_y:0.85 mse_u:0.63 mse_v:0.59 psnr_avg:49.26 psnr_y:48.82 psnr_u:50.17 psnr_v:50.45 
n:47 mse_avg:0.78 mse_y:0.86 mse_u:0.65 mse_v:0.61 psnr_avg:49.19 psnr_y:48.78 psnr_u:50.02 psnr_v:50.29 
n:48 mse_avg:0.77 mse_y:0.85 mse_u:0.64 mse_v:0.60 psnr_avg:49.26 psnr_y:48.85 psnr_u:50.07 psnr_v:50.32 
n:49 mse_avg:0.79 mse_y:0.87 mse_u:0.64 mse_v:0.60 psnr_avg:49.17 psnr_y:48.74 psnr_u:50.08 psnr_v:50.33 
n:50 mse_avg:0.77 mse_y:0.85 mse_u:0.62 mse_v:0.58 psnr_avg:49.27 psnr_y:48.82 psnr_u:50.23 psnr_v:50.47 
n:51 mse_avg:0.29 mse_y:0.30 mse_u:0.27 mse_v:0.26 psnr_avg:53.58 psnr_y:53.43 psnr_u:53.88 psnr_v:53.94 
n:52 mse_avg:0.45 mse_y:0.52 mse_u:0.33 mse_v:0.31 psnr_avg:51.55 psnr_y:50.96 psnr_u:52.96 psnr_v:53.20 
n:53 mse_avg:0.58 mse_y:0.68 mse_u:0.41 mse_v:0.38 psnr_avg:50.47 psnr_y:49.82 psnr_u:52.03 psnr_v:52.32 
n:54 mse_avg:0.55 mse_y:0.63 mse_u:0.41 mse_v:0.38 psnr_avg:50.74 psnr_y:50.17 psnr_u:52.04 psnr_v:52.34 
n:55 mse_avg:0.63 mse_y:0.73 mse_u:0.44 mse_v:0.40 psnr_avg:50.15 psnr_y:49.49 psnr_u:51.71 psnr_v:52.07 
n:56 mse_avg:0.62 mse_y:0.72 mse_u:0.45 mse_v:0.41 psnr_avg:50.18 psnr_y:49.56 psnr_u:51.62 psnr_v:51.96 
n:57 mse_avg:0.68 mse_y:0.76 mse_u:0.53 mse_v:0.49 psnr_avg:49.83 psnr_y:49.34 psnr_u:50.86 psnr_v:51.19 
n:58 mse_avg:0.69 mse_y:0.78 mse_u:0.54 mse_v:0.50 psnr_avg:49.74 psnr_y:49.23 psnr_u:50.80 psnr_v:51.13 
n:59 mse_avg:0.71 mse_y:0.80 mse_u:0.56 mse_v:0.51 psnr_avg:49.61 psnr_y:49.09 psnr_u:50.68 psnr_v:51.04 
n:60 mse_avg:0.71 mse_y:0.80 mse_u:0.57 mse_v:0.53 psnr_avg:49.60 psnr_y:49.11 psnr_u:50.60 psnr_v:50.92 
n:61 mse_avg:0.74 mse_y:0.82 mse_u:0.58 mse_v:0.55 psnr_avg:49.47 psnr_y:48.99 psnr_u:50.46 psnr_v:50.75 
n:62 mse_avg:0.73 mse_y:0.82 mse_u:0.58 mse_v:0.54 psnr_avg:49.48 psnr_y:48.99 psnr_u:50.50 psnr_v:50.81 
n:63 mse_avg:0.73 mse_y:0.82 mse_u:0.59 mse_v:0.55 psnr_avg:49.47 psnr_y:49.01 psnr_u:50.41 psnr_v:50.73 
n:64 mse_avg:0.74 mse_y:0.82 mse_u:0.59 mse_v:0.55 psnr_avg:49.46 psnr_y:49.00 psnr_u:50.40 psnr_v:50.73 
n:65 mse_avg:0.75 mse_y:0.82 mse_u:0.61 mse_v:0.57 psnr_avg:49.41 psnr_y:48.98 psnr_u:50.26 psnr_v:50.60 
n:66 mse_avg:0.74 mse_y:0.82 mse_u:0.61 mse_v:0.57 psnr_avg:49.42 psnr_y:48.99 psnr_u:50.28 psnr_v:50.60 
n:67 mse_avg:0.75 mse_y:0.82 mse_u:0.62 mse_v:0.58 psnr_avg:49.40 psnr_y:48.99 psnr_u:50.20 psnr_v:50.52 
n:68 mse_avg:0.75 mse_y:0.82 mse_u:0.62 mse_v:0.57 psnr_avg:49.41 psnr_y:48.99 psnr_u:50.23 psnr_v:50.54 
n:69 mse_avg:0.76 mse_y:0.83 mse_u:0.62 mse_v:0.58 psnr_avg:49.34 psnr_y:48.91 psnr_u:50.20 psnr_v:50.49 
n:70 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.59 psnr_avg:49.31 psnr_y:48.90 psnr_u:50.13 psnr_v:50.43 
n:71 mse_avg:0.77 mse_y:0.85 mse_u:0.63 mse_v:0.59 psnr_avg:49.28 psnr_y:48.84 psnr_u:50.16 psnr_v:50.44 
n:72 mse_avg:0.77 mse_y:0.85 mse_u:0.64 mse_v:0.61 psnr_avg:49.25 psnr_y:48.85 psnr_u:50.08 psnr_v:50.31 
n:73 mse_avg:0.78 mse_y:0.86 mse_u:0.64 mse_v:0.61 psnr_avg:49.21 psnr_y:48.80 psnr_u:50.05 psnr_v:50.28 
n:74 mse_avg:0.77 mse_y:0.85 mse_u:0.63 mse_v:0.60 psnr_avg:49.26 psnr_y:48.85 psnr_u:50.11 psnr_v:50.33 
n:75 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.59 psnr_avg:49.30 psnr_y:48.88 psnr_u:50.14 psnr_v:50.42 
n:76 mse_avg:0.76 mse_y:0.83 mse_u:0.63 mse_v:0.59 psnr_avg:49.33 psnr_y:48.92 psnr_u:50.15 psnr_v:50.41 
n:77 mse_avg:0.76 mse_y:0.83 mse_u:0.64 mse_v:0.60 psnr_avg:49.32 psnr_y:48.93 psnr_u:50.10 psnr_v:50.37 
n:78 mse_avg:0.76 mse_y:0.83 mse_u:0.63 mse_v:0.60 psnr_avg:49.32 psnr_y:48.92 psnr_u:50.11 psnr_v:50.38 
n:79 mse_avg:0.77 mse_y:0.84 mse_u:0.64 mse_v:0.60 psnr_avg:49.28 psnr_y:48.88 psnr_u:50.06 psnr_v:50.34 
n:80 mse_avg:0.77 mse_y:0.85 mse_u:0.64 mse_v:0.60 psnr_avg:49.26 psnr_y:48.85 psnr_u:50.10 psnr_v:50.37 
n:81 mse_avg:0.78 mse_y:0.86 mse_u:0.64 mse_v:0.61 psnr_avg:49.21 psnr_y:48.80 psnr_u:50.04 psnr_v:50.29 
n:82 mse_avg:0.78 mse_y:0.86 mse_u:0.64 mse_v:0.61 psnr_avg:49.21 psnr_y:48.80 psnr_u:50.04 psnr_v:50.30 
n:83 mse_avg:0.78 mse_y:0.86 mse_u:0.65 mse_v:0.61 psnr_avg:49.18 psnr_y:48.78 psnr_u:49.98 psnr_v:50.26 
n:84 mse_avg:0.78 mse_y:0.86 mse_u:0.65 mse_v:0.61 psnr_avg:49.20 psnr_y:48.80 psnr_u:50.00 psnr_v:50.27 
n:85 mse_avg:0.79 mse_y:0.86 mse_u:0.66 mse_v:0.63 psnr_avg:49.15 psnr_y:48.77 psnr_u:49.91 psnr_v:50.15 
n:86 mse_avg:0.78 mse_y:0.86 mse_u:0.64 mse_v:0.61 psnr_avg:49.22 psnr_y:48.81 psnr_u:50.05 psnr_v:50.31 
n:87 mse_avg:0.78 mse_y:0.85 mse_u:0.65 mse_v:0.61 psnr_avg:49.21 psnr_y:48.81 psnr_u:50.01 psnr_v:50.28 
n:88 mse_avg:0.78 mse_y:0.85 mse_u:0.64 mse_v:0.60 psnr_avg:49.23 psnr_y:48.83 psnr_u:50.05 psnr_v:50.32 
n:89 mse_avg:0.78 mse_y:0.85 mse_u:0.65 mse_v:0.62 psnr_avg:49.23 psnr_y:48.85 psnr_u:49.98 psnr_v:50.24 
n:90 mse_avg:0.77 mse_y:0.84 mse_u:0.65 mse_v:0.62 psnr_avg:49.24 psnr_y:48.87 psnr_u:49.99 psnr_v:50.23 
n:91 mse_avg:0.78 mse_y:0.85 mse_u:0.66 mse_v:0.62 psnr_avg:49.19 psnr_y:48.82 psnr_u:49.92 psnr_v:50.18 
n:92 mse_avg:0.77 mse_y:0.84 mse_u:0.65 mse_v:0.62 psnr_avg:49.24 psnr_y:48.86 psnr_u:49.99 psnr_v:50.24 
n:93 mse_avg:0.78 mse_y:0.86 mse_u:0.65 mse_v:0.61 psnr_avg:49.18 psnr_y:48.78 psnr_u:49.97 psnr_v:50.25 
n:94 mse_avg:0.79 mse_y:0.86 mse_u:0.66 mse_v:0.62 psnr_avg:49.16 psnr_y:48.78 psnr_u:49.93 psnr_v:50.18 
n:95 mse_avg:0.79 mse_y:0.87 mse_u:0.66 mse_v:0.62 psnr_avg:49.14 psnr_y:48.73 psnr_u:49.96 psnr_v:50.22 
n:96 mse_avg:0.79 mse_y:0.87 mse_u:0.66 mse_v:0.63 psnr_avg:49.13 psnr_y:48.74 psnr_u:49.90 psnr_v:50.14 
n:97 mse_avg:0.80 mse_y:0.87 mse_u:0.67 mse_v:0.64 psnr_avg:49.11 psnr_y:48.74 psnr_u:49.85 psnr_v:50.08 
n:98 mse_avg:0.78 mse_y:0.85 mse_u:0.66 mse_v:0.63 psnr_avg:49.19 psnr_y:48.82 psnr_u:49.92 psnr_v:50.15 
n:99 mse_avg:0.78 mse_y:0.85 mse_u:0.65 mse_v:0.62 psnr_avg:49.21 psnr_y:48.82 psnr_u:49.97 psnr_v:50.21 
n:100 mse_avg:0.77 mse_y:0.84 mse_u:0.65 mse_v:0.61 psnr_avg:49.27 psnr_y:48.89 psnr_u:50.03 psnr_v:50.29 
n:101 mse_avg:0.30 mse_y:0.31 mse_u:0.28 mse_v:0.28 psnr_avg:53.38 psnr_y:53.25 psnr_u:53.66 psnr_v:53.66 
n:102 mse_avg:0.48 mse_y:0.55 mse_u:0.34 mse_v:0.33 psnr_avg:51.31 psnr_y:50.70 psnr_u:52.75 psnr_v:52.98 
n:103 mse_avg:0.60 mse_y:0.70 mse_u:0.42 mse_v:0.39 psnr_avg:50.34 psnr_y:49.68 psnr_u:51.90 psnr_v:52.24 
n:104 mse_avg:0.58 mse_y:0.67 mse_u:0.42 mse_v:0.39 psnr_avg:50.48 psnr_y:49.88 psnr_u:51.88 psnr_v:52.17 
n:105 mse_avg:0.65 mse_y:0.74 mse_u:0.48 mse_v:0.44 psnr_avg:50.01 psnr_y:49.41 psnr_u:51.36 psnr_v:51.67 
n:106 mse_avg:0.66 mse_y:0.75 mse_u:0.50 mse_v:0.46 psnr_avg:49.92 psnr_y:49.35 psnr_u:51.17 psnr_v:51.52 
n:107 mse_avg:0.66 mse_y:0.75 mse_u:0.51 mse_v:0.47 psnr_avg:49.92 psnr_y:49.38 psnr_u:51.09 psnr_v:51.44 
n:108 mse_avg:0.70 mse_y:0.79 mse_u:0.53 mse_v:0.49 psnr_avg:49.71 psnr_y:49.16 psnr_u:50.90 psnr_v:51.27 
n:109 mse_avg:0.71 mse_y:0.79 mse_u:0.57 mse_v:0.53 psnr_avg:49.62 psnr_y:49.15 psnr_u:50.59 psnr_v:50.90 
n:110 mse_avg:0.71 mse_y:0.80 mse_u:0.56 mse_v:0.52 psnr_avg:49.60 psnr_y:49.12 psnr_u:50.62 psnr_v:50.94 
n:111 mse_avg:0.72 mse_y:0.81 mse_u:0.58 mse_v:0.53 psnr_avg:49.54 psnr_y:49.06 psnr_u:50.53 psnr_v:50.86 
