n:1 mse_avg:0.60 mse_y:0.76 mse_u:0.28 mse_v:0.29 psnr_avg:50.34 psnr_y:49.33 psnr_u:53.68 psnr_v:53.50 
n:2 mse_avg:1.06 mse_y:1.43 mse_u:0.30 mse_v:0.32 psnr_avg:47.88 psnr_y:46.57 psnr_u:53.31 psnr_v:53.06 
n:3 mse_avg:1.23 mse_y:1.68 mse_u:0.33 mse_v:0.34 psnr_avg:47.23 psnr_y:45.89 psnr_u:52.93 psnr_v:52.75 
n:4 mse_avg:1.42 mse_y:1.92 mse_u:0.41 mse_v:0.43 psnr_avg:46.61 psnr_y:45.30 psnr_u:51.99 psnr_v:51.76 
n:5 mse_avg:1.49 mse_y:2.02 mse_u:0.43 mse_v:0.45 psnr_avg:46.39 psnr_y:45.08 psnr_u:51.80 psnr_v:51.55 
n:6 mse_avg:1.42 mse_y:1.91 mse_u:0.44 mse_v:0.46 psnr_avg:46.61 psnr_y:45.33 psnr_u:51.74 psnr_v:51.47 
n:7 mse_avg:1.52 mse_y:2.05 mse_u:0.45 mse_v:0.49 psnr_avg:46.30 psnr_y:45.01 psnr_u:51.57 psnr_v:51.25 
n:8 mse_avg:1.46 mse_y:1.96 mse_u:0.45 mse_v:0.49 psnr_avg:46.48 psnr_y:45.22 psnr_u:51.57 psnr_v:51.27 
n:9 mse_avg:1.56 mse_y:2.10 mse_u:0.47 mse_v:0.50 psnr_avg:46.20 psnr_y:44.91 psnr_u:51.43 psnr_v:51.17 
n:10 mse_avg:1.46 mse_y:1.94 mse_u:0.47 mse_v:0.50 psnr_avg:46.49 psnr_y:45.24 psnr_u:51.37 psnr_v:51.11 
n:11 mse_avg:1.55 mse_y:2.07 mse_u:0.50 mse_v:0.52 psnr_avg:46.23 psnr_y:44.97 psnr_u:51.18 psnr_v:50.94 
n:12 mse_avg:1.51 mse_y:2.01 mse_u:0.48 mse_v:0.51 psnr_avg:46.35 psnr_y:45.10 psnr_u:51.28 psnr_v:51.04 
n:13 mse_avg:1.59 mse_y:2.13 mse_u:0.49 mse_v:0.52 psnr_avg:46.13 psnr_y:44.85 psnr_u:51.26 psnr_v:50.99 
n:14 mse_avg:1.46 mse_y:1.95 mse_u:0.48 mse_v:0.51 psnr_avg:46.48 psnr_y:45.23 psnr_u:51.33 psnr_v:51.07 
n:15 mse_avg:1.52 mse_y:2.03 mse_u:0.49 mse_v:0.52 psnr_avg:46.31 psnr_y:45.06 psnr_u:51.25 psnr_v:50.96 
n:16 mse_avg:1.47 mse_y:1.96 mse_u:0.48 mse_v:0.51 psnr_avg:46.44 psnr_y:45.20 psnr_u:51.31 psnr_v:51.04 
n:17 mse_avg:1.57 mse_y:2.09 mse_u:0.49 mse_v:0.53 psnr_avg:46.18 psnr_y:44.92 psnr_u:51.21 psnr_v:50.88 
n:18 mse_avg:1.49 mse_y:1.99 mse_u:0.49 mse_v:0.54 psnr_avg:46.39 psnr_y:45.15 psnr_u:51.26 psnr_v:50.84 
n:19 mse_avg:1.57 mse_y:2.09 mse_u:0.50 mse_v:0.55 psnr_avg:46.17 psnr_y:44.93 psnr_u:51.16 psnr_v:50.69 
n:20 mse_avg:1.52 mse_y:2.01 mse_u:0.50 mse_v:0.55 psnr_avg:46.32 psnr_y:45.09 psnr_u:51.17 psnr_v:50.74 
n:21 mse_avg:1.60 mse_y:2.13 mse_u:0.50 mse_v:0.56 psnr_avg:46.09 psnr_y:44.84 psnr_u:51.11 psnr_v:50.62 
