n:1 mse_avg:0.01 mse_y:0.01 mse_u:0.01 mse_v:0.01 psnr_avg:69.21 psnr_y:68.88 psnr_u:70.16 psnr_v:69.77 
n:2 mse_avg:0.04 mse_y:0.05 mse_u:0.02 mse_v:0.02 psnr_avg:61.80 psnr_y:60.89 psnr_u:64.80 psnr_v:64.22 
n:3 mse_avg:0.05 mse_y:0.06 mse_u:0.03 mse_v:0.03 psnr_avg:61.37 psnr_y:60.55 psnr_u:63.99 psnr_v:63.47 
n:4 mse_avg:0.05 mse_y:0.06 mse_u:0.03 mse_v:0.03 psnr_avg:61.09 psnr_y:60.28 psnr_u:63.61 psnr_v:63.16 
n:5 mse_avg:0.05 mse_y:0.06 mse_u:0.03 mse_v:0.03 psnr_avg:61.22 psnr_y:60.44 psnr_u:63.65 psnr_v:63.19 
n:6 mse_avg:0.05 mse_y:0.06 mse_u:0.03 mse_v:0.03 psnr_avg:60.89 psnr_y:60.14 psnr_u:63.19 psnr_v:62.76 
n:7 mse_avg:0.05 mse_y:0.06 mse_u:0.03 mse_v:0.04 psnr_avg:60.74 psnr_y:60.03 psnr_u:62.83 psnr_v:62.44 
n:8 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.64 psnr_y:59.95 psnr_u:62.66 psnr_v:62.31 
n:9 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.66 psnr_y:59.99 psnr_u:62.62 psnr_v:62.23 
n:10 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.54 psnr_y:59.88 psnr_u:62.45 psnr_v:62.08 
n:11 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.55 psnr_y:59.93 psnr_u:62.37 psnr_v:61.95 
n:12 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.51 psnr_y:59.88 psnr_u:62.32 psnr_v:61.92 
n:13 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.62 psnr_y:59.98 psnr_u:62.49 psnr_v:62.06 
n:14 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.56 psnr_y:59.93 psnr_u:62.41 psnr_v:61.99 
n:15 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.57 psnr_y:59.94 psnr_u:62.43 psnr_v:62.01 
n:16 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.57 psnr_y:59.95 psnr_u:62.40 psnr_v:61.96 
n:17 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.63 psnr_y:59.98 psnr_u:62.55 psnr_v:62.10 
n:18 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.58 psnr_y:59.92 psnr_u:62.53 psnr_v:62.10 
n:19 mse_avg:0.06 mse_y:0.07 mse_u:0.03 mse_v:0.04 psnr_avg:60.65 psnr_y:59.96 psnr_u:62.69 psnr_v:62.26 
n:20 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.58 psnr_y:59.90 psnr_u:62.62 psnr_v:62.13 
n:21 mse_avg:0.06 mse_y:0.07 mse_u:0.03 mse_v:0.04 psnr_avg:60.70 psnr_y:59.99 psnr_u:62.83 psnr_v:62.36 
n:22 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.33 psnr_y:59.67 psnr_u:62.35 psnr_v:61.75 
n:23 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.33 psnr_y:59.70 psnr_u:62.27 psnr_v:61.69 
n:24 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.30 psnr_y:59.68 psnr_u:62.14 psnr_v:61.61 
n:25 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.35 psnr_y:59.74 psnr_u:62.19 psnr_v:61.62 
n:26 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.27 psnr_y:59.66 psnr_u:62.10 psnr_v:61.54 
n:27 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.23 psnr_y:59.63 psnr_u:62.05 psnr_v:61.48 
n:28 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.24 psnr_y:59.65 psnr_u:62.04 psnr_v:61.47 
n:29 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.31 psnr_y:59.69 psnr_u:62.20 psnr_v:61.60 
n:30 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.24 psnr_y:59.64 psnr_u:62.06 psnr_v:61.48 
n:31 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.22 psnr_y:59.62 psnr_u:62.07 psnr_v:61.47 
n:32 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.22 psnr_y:59.61 psnr_u:62.10 psnr_v:61.49 
n:33 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.38 psnr_y:59.75 psnr_u:62.33 psnr_v:61.71 
n:34 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.29 psnr_y:59.65 psnr_u:62.26 psnr_v:61.67 
n:35 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.33 psnr_y:59.67 psnr_u:62.36 psnr_v:61.78 
n:36 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.35 psnr_y:59.69 psnr_u:62.46 psnr_v:61.79 
n:37 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.51 psnr_y:59.82 psnr_u:62.66 psnr_v:62.00 
n:38 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.33 psnr_y:59.67 psnr_u:62.40 psnr_v:61.73 
n:39 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.04 psnr_avg:60.30 psnr_y:59.66 psnr_u:62.26 psnr_v:61.63 
n:40 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.24 psnr_y:59.61 psnr_u:62.17 psnr_v:61.53 
