n:1 mse_avg:0.07 mse_y:0.08 mse_u:0.03 mse_v:0.04 psnr_avg:59.77 psnr_y:58.85 psnr_u:62.86 psnr_v:62.26 
n:2 mse_avg:0.14 mse_y:0.19 mse_u:0.05 mse_v:0.06 psnr_avg:56.55 psnr_y:55.38 psnr_u:61.21 psnr_v:60.33 
n:3 mse_avg:0.16 mse_y:0.21 mse_u:0.06 mse_v:0.07 psnr_avg:56.07 psnr_y:54.93 psnr_u:60.44 psnr_v:59.75 
n:4 mse_avg:0.17 mse_y:0.22 mse_u:0.07 mse_v:0.08 psnr_avg:55.77 psnr_y:54.68 psnr_u:59.84 psnr_v:59.12 
n:5 mse_avg:0.17 mse_y:0.22 mse_u:0.07 mse_v:0.08 psnr_avg:55.72 psnr_y:54.64 psnr_u:59.67 psnr_v:58.97 
n:6 mse_avg:0.18 mse_y:0.23 mse_u:0.07 mse_v:0.08 psnr_avg:55.64 psnr_y:54.56 psnr_u:59.60 psnr_v:58.93 
n:7 mse_avg:0.18 mse_y:0.23 mse_u:0.07 mse_v:0.08 psnr_avg:55.66 psnr_y:54.56 psnr_u:59.72 psnr_v:59.10 
n:8 mse_avg:0.19 mse_y:0.23 mse_u:0.09 mse_v:0.10 psnr_avg:55.40 psnr_y:54.46 psnr_u:58.60 psnr_v:58.00 
n:9 mse_avg:0.19 mse_y:0.23 mse_u:0.09 mse_v:0.10 psnr_avg:55.42 psnr_y:54.48 psnr_u:58.55 psnr_v:57.98 
n:10 mse_avg:0.19 mse_y:0.24 mse_u:0.09 mse_v:0.11 psnr_avg:55.34 psnr_y:54.41 psnr_u:58.41 psnr_v:57.88 
n:11 mse_avg:0.19 mse_y:0.23 mse_u:0.09 mse_v:0.10 psnr_avg:55.38 psnr_y:54.44 psnr_u:58.47 psnr_v:57.98 
n:12 mse_avg:0.19 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.29 psnr_y:54.38 psnr_u:58.30 psnr_v:57.78 
n:13 mse_avg:0.19 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.27 psnr_y:54.36 psnr_u:58.23 psnr_v:57.77 
n:14 mse_avg:0.19 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.25 psnr_y:54.34 psnr_u:58.13 psnr_v:57.74 
n:15 mse_avg:0.19 mse_y:0.24 mse_u:0.09 mse_v:0.10 psnr_avg:55.33 psnr_y:54.39 psnr_u:58.40 psnr_v:57.99 
n:16 mse_avg:0.19 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.25 psnr_y:54.33 psnr_u:58.25 psnr_v:57.77 
n:17 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.22 psnr_y:54.31 psnr_u:58.19 psnr_v:57.74 
n:18 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.21 psnr_y:54.31 psnr_u:58.14 psnr_v:57.69 
n:19 mse_avg:0.19 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.25 psnr_y:54.34 psnr_u:58.19 psnr_v:57.76 
n:20 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.16 psnr_y:54.25 psnr_u:58.07 psnr_v:57.66 
n:21 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.15 psnr_y:54.25 psnr_u:58.05 psnr_v:57.65 
n:22 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.17 psnr_y:54.26 psnr_u:58.09 psnr_v:57.69 
n:23 mse_avg:0.19 mse_y:0.23 mse_u:0.09 mse_v:0.10 psnr_avg:55.37 psnr_y:54.42 psnr_u:58.51 psnr_v:58.08 
n:24 mse_avg:0.19 mse_y:0.24 mse_u:0.09 mse_v:0.10 psnr_avg:55.27 psnr_y:54.32 psnr_u:58.44 psnr_v:57.94 
n:25 mse_avg:0.19 mse_y:0.24 mse_u:0.09 mse_v:0.11 psnr_avg:55.28 psnr_y:54.34 psnr_u:58.37 psnr_v:57.87 
n:26 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.23 psnr_y:54.30 psnr_u:58.30 psnr_v:57.77 
n:27 mse_avg:0.19 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.26 psnr_y:54.34 psnr_u:58.27 psnr_v:57.80 
n:28 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.19 psnr_y:54.27 psnr_u:58.19 psnr_v:57.69 
n:29 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.16 psnr_y:54.26 psnr_u:58.09 psnr_v:57.66 
n:30 mse_avg:0.20 mse_y:0.25 mse_u:0.10 mse_v:0.11 psnr_avg:55.13 psnr_y:54.23 psnr_u:57.99 psnr_v:57.58 
n:31 mse_avg:0.19 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.24 psnr_y:54.31 psnr_u:58.22 psnr_v:57.82 
n:32 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.15 psnr_y:54.24 psnr_u:58.08 psnr_v:57.67 
n:33 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.16 psnr_y:54.27 psnr_u:58.00 psnr_v:57.62 
n:34 mse_avg:0.20 mse_y:0.25 mse_u:0.10 mse_v:0.11 psnr_avg:55.11 psnr_y:54.22 psnr_u:57.94 psnr_v:57.55 
n:35 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.17 psnr_y:54.28 psnr_u:58.03 psnr_v:57.67 
n:36 mse_avg:0.20 mse_y:0.25 mse_u:0.10 mse_v:0.11 psnr_avg:55.11 psnr_y:54.21 psnr_u:57.95 psnr_v:57.59 
n:37 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.22 psnr_y:54.33 psnr_u:58.10 psnr_v:57.70 
n:38 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.16 psnr_y:54.24 psnr_u:58.10 psnr_v:57.73 
n:39 mse_avg:0.19 mse_y:0.24 mse_u:0.09 mse_v:0.10 psnr_avg:55.31 psnr_y:54.36 psnr_u:58.45 psnr_v:58.04 
n:40 mse_avg:0.20 mse_y:0.24 mse_u:0.10 mse_v:0.11 psnr_avg:55.17 psnr_y:54.28 psnr_u:58.11 psnr_v:57.59 
