n:39 mse_avg:0.36 mse_y:0.40 mse_u:0.27 mse_v:0.29 psnr_avg:52.60 psnr_y:52.16 psnr_u:53.84 psnr_v:53.45 
n:40 mse_avg:0.36 mse_y:0.40 mse_u:0.27 mse_v:0.30 psnr_avg:52.58 psnr_y:52.14 psnr_u:53.82 psnr_v:53.41 
n:41 mse_avg:0.36 mse_y:0.40 mse_u:0.27 mse_v:0.30 psnr_avg:52.55 psnr_y:52.09 psnr_u:53.83 psnr_v:53.42 
n:42 mse_avg:0.36 mse_y:0.41 mse_u:0.27 mse_v:0.30 psnr_avg:52.51 psnr_y:52.06 psnr_u:53.80 psnr_v:53.42 
n:43 mse_avg:0.36 mse_y:0.40 mse_u:0.27 mse_v:0.30 psnr_avg:52.52 psnr_y:52.08 psnr_u:53.77 psnr_v:53.40 
n:44 mse_avg:0.37 mse_y:0.41 mse_u:0.27 mse_v:0.29 psnr_avg:52.50 psnr_y:52.02 psnr_u:53.83 psnr_v:53.48 
n:45 mse_avg:0.36 mse_y:0.40 mse_u:0.27 mse_v:0.29 psnr_avg:52.60 psnr_y:52.14 psnr_u:53.89 psnr_v:53.50 
n:46 mse_avg:0.35 mse_y:0.39 mse_u:0.27 mse_v:0.29 psnr_avg:52.63 psnr_y:52.20 psnr_u:53.86 psnr_v:53.44 
n:47 mse_avg:0.35 mse_y:0.39 mse_u:0.27 mse_v:0.30 psnr_avg:52.65 psnr_y:52.24 psnr_u:53.82 psnr_v:53.41 
n:48 mse_avg:0.35 mse_y:0.39 mse_u:0.27 mse_v:0.30 psnr_avg:52.66 psnr_y:52.26 psnr_u:53.80 psnr_v:53.40 
n:49 mse_avg:0.35 mse_y:0.38 mse_u:0.27 mse_v:0.30 psnr_avg:52.67 psnr_y:52.28 psnr_u:53.79 psnr_v:53.39 
n:50 mse_avg:0.36 mse_y:0.40 mse_u:0.28 mse_v:0.30 psnr_avg:52.57 psnr_y:52.16 psnr_u:53.73 psnr_v:53.31 
n:51 mse_avg:0.19 mse_y:0.20 mse_u:0.15 mse_v:0.17 psnr_avg:55.41 psnr_y:55.14 psnr_u:56.29 psnr_v:55.73 
n:52 mse_avg:0.28 mse_y:0.31 mse_u:0.20 mse_v:0.22 psnr_avg:53.71 psnr_y:53.20 psnr_u:55.15 psnr_v:54.72 
n:53 mse_avg:0.27 mse_y:0.31 mse_u:0.19 mse_v:0.21 psnr_avg:53.74 psnr_y:53.21 psnr_u:55.26 psnr_v:54.86 
n:54 mse_avg:0.29 mse_y:0.33 mse_u:0.20 mse_v:0.22 psnr_avg:53.48 psnr_y:52.93 psnr_u:55.03 psnr_v:54.63 
n:55 mse_avg:0.30 mse_y:0.34 mse_u:0.21 mse_v:0.23 psnr_avg:53.33 psnr_y:52.80 psnr_u:54.84 psnr_v:54.48 
n:56 mse_avg:0.31 mse_y:0.36 mse_u:0.22 mse_v:0.24 psnr_avg:53.17 psnr_y:52.62 psnr_u:54.68 psnr_v:54.37 
n:57 mse_avg:0.32 mse_y:0.36 mse_u:0.23 mse_v:0.24 psnr_avg:53.06 psnr_y:52.52 psnr_u:54.55 psnr_v:54.26 
n:58 mse_avg:0.33 mse_y:0.37 mse_u:0.24 mse_v:0.25 psnr_avg:53.00 psnr_y:52.47 psnr_u:54.42 psnr_v:54.14 
n:59 mse_avg:0.33 mse_y:0.38 mse_u:0.24 mse_v:0.25 psnr_avg:52.90 psnr_y:52.35 psnr_u:54.39 psnr_v:54.14 
n:60 mse_avg:0.33 mse_y:0.37 mse_u:0.24 mse_v:0.26 psnr_avg:52.95 psnr_y:52.44 psnr_u:54.35 psnr_v:54.05 
n:61 mse_avg:0.32 mse_y:0.36 mse_u:0.24 mse_v:0.26 psnr_avg:53.05 psnr_y:52.58 psnr_u:54.34 psnr_v:54.02 
