n:1 mse_avg:16.81 mse_y:23.85 mse_u:2.75 mse_v:2.71 psnr_avg:35.87 psnr_y:34.36 psnr_u:43.74 psnr_v:43.80 
n:2 mse_avg:20.79 mse_y:29.81 mse_u:2.73 mse_v:2.75 psnr_avg:34.95 psnr_y:33.39 psnr_u:43.77 psnr_v:43.74 
n:3 mse_avg:23.43 mse_y:33.75 mse_u:2.77 mse_v:2.81 psnr_avg:34.43 psnr_y:32.85 psnr_u:43.71 psnr_v:43.64 
n:4 mse_avg:24.99 mse_y:36.03 mse_u:2.84 mse_v:2.94 psnr_avg:34.15 psnr_y:32.56 psnr_u:43.60 psnr_v:43.44 
n:5 mse_avg:26.08 mse_y:37.65 mse_u:2.89 mse_v:3.01 psnr_avg:33.97 psnr_y:32.37 psnr_u:43.53 psnr_v:43.34 
n:6 mse_avg:25.03 mse_y:36.06 mse_u:2.89 mse_v:3.05 psnr_avg:34.15 psnr_y:32.56 psnr_u:43.51 psnr_v:43.28 
n:7 mse_avg:27.07 mse_y:39.09 mse_u:2.95 mse_v:3.13 psnr_avg:33.81 psnr_y:32.21 psnr_u:43.44 psnr_v:43.18 
n:8 mse_avg:26.37 mse_y:38.03 mse_u:2.94 mse_v:3.15 psnr_avg:33.92 psnr_y:32.33 psnr_u:43.44 psnr_v:43.14 
n:9 mse_avg:27.60 mse_y:39.84 mse_u:3.02 mse_v:3.23 psnr_avg:33.72 psnr_y:32.13 psnr_u:43.33 psnr_v:43.04 
n:10 mse_avg:26.54 mse_y:38.23 mse_u:3.04 mse_v:3.29 psnr_avg:33.89 psnr_y:32.31 psnr_u:43.31 psnr_v:42.95 
n:11 mse_avg:28.17 mse_y:40.61 mse_u:3.18 mse_v:3.40 psnr_avg:33.63 psnr_y:32.04 psnr_u:43.10 psnr_v:42.82 
n:12 mse_avg:27.68 mse_y:39.88 mse_u:3.16 mse_v:3.41 psnr_avg:33.71 psnr_y:32.12 psnr_u:43.13 psnr_v:42.81 
n:13 mse_avg:30.21 mse_y:43.68 mse_u:3.13 mse_v:3.41 psnr_avg:33.33 psnr_y:31.73 psnr_u:43.18 psnr_v:42.80 
n:14 mse_avg:28.22 mse_y:40.70 mse_u:3.15 mse_v:3.41 psnr_avg:33.62 psnr_y:32.04 psnr_u:43.15 psnr_v:42.80 
n:15 mse_avg:28.20 mse_y:40.63 mse_u:3.20 mse_v:3.48 psnr_avg:33.63 psnr_y:32.04 psnr_u:43.07 psnr_v:42.71 
n:16 mse_avg:28.13 mse_y:40.52 mse_u:3.20 mse_v:3.49 psnr_avg:33.64 psnr_y:32.05 psnr_u:43.08 psnr_v:42.70 
n:17 mse_avg:29.46 mse_y:42.47 mse_u:3.28 mse_v:3.60 psnr_avg:33.44 psnr_y:31.85 psnr_u:42.97 psnr_v:42.57 
n:18 mse_avg:28.45 mse_y:40.91 mse_u:3.31 mse_v:3.72 psnr_avg:33.59 psnr_y:32.01 psnr_u:42.93 psnr_v:42.42 
n:19 mse_avg:30.08 mse_y:43.31 mse_u:3.38 mse_v:3.84 psnr_avg:33.35 psnr_y:31.76 psnr_u:42.84 psnr_v:42.29 
n:20 mse_avg:29.12 mse_y:41.87 mse_u:3.35 mse_v:3.90 psnr_avg:33.49 psnr_y:31.91 psnr_u:42.88 psnr_v:42.22 
n:21 mse_avg:30.65 mse_y:44.13 mse_u:3.40 mse_v:3.98 psnr_avg:33.27 psnr_y:31.68 psnr_u:42.81 psnr_v:42.13 
n:22 mse_avg:29.15 mse_y:41.83 mse_u:3.44 mse_v:4.12 psnr_avg:33.48 psnr_y:31.92 psnr_u:42.76 psnr_v:41.98 
n:23 mse_avg:30.79 mse_y:44.24 mse_u:3.51 mse_v:4.30 psnr_avg:33.25 psnr_y:31.67 psnr_u:42.68 psnr_v:41.80 
n:24 mse_avg:31.09 mse_y:44.67 mse_u:3.54 mse_v:4.35 psnr_avg:33.20 psnr_y:31.63 psnr_u:42.64 psnr_v:41.74 
n:25 mse_avg:32.69 mse_y:47.00 mse_u:3.63 mse_v:4.50 psnr_avg:32.99 psnr_y:31.41 psnr_u:42.53 psnr_v:41.60 
n:26 mse_avg:31.68 mse_y:45.46 mse_u:3.65 mse_v:4.56 psnr_avg:33.12 psnr_y:31.55 psnr_u:42.51 psnr_v:41.54 
n:27 mse_avg:31.81 mse_y:45.61 mse_u:3.64 mse_v:4.79 psnr_avg:33.11 psnr_y:31.54 psnr_u:42.52 psnr_v:41.33 
n:28 mse_avg:30.70 mse_y:43.98 mse_u:3.63 mse_v:4.65 psnr_avg:33.26 psnr_y:31.70 psnr_u:42.53 psnr_v:41.46 
n:29 mse_avg:30.90 mse_y:44.28 mse_u:3.65 mse_v:4.63 psnr_avg:33.23 psnr_y:31.67 psnr_u:42.50 psnr_v:41.47 
n:30 mse_avg:31.54 mse_y:45.23 mse_u:3.66 mse_v:4.67 psnr_avg:33.14 psnr_y:31.58 psnr_u:42.50 psnr_v:41.44 
n:31 mse_avg:32.50 mse_y:46.62 mse_u:3.62 mse_v:4.87 psnr_avg:33.01 psnr_y:31.44 psnr_u:42.55 psnr_v:41.25 
n:32 mse_avg:31.79 mse_y:45.60 mse_u:3.60 mse_v:4.72 psnr_avg:33.11 psnr_y:31.54 psnr_u:42.57 psnr_v:41.39 
n:33 mse_avg:31.29 mse_y:44.81 mse_u:3.65 mse_v:4.86 psnr_avg:33.18 psnr_y:31.62 psnr_u:42.51 psnr_v:41.26 
n:34 mse_avg:30.88 mse_y:44.21 mse_u:3.65 mse_v:4.82 psnr_avg:33.23 psnr_y:31.68 psnr_u:42.51 psnr_v:41.30 
n:35 mse_avg:32.52 mse_y:46.60 mse_u:3.64 mse_v:5.08 psnr_avg:33.01 psnr_y:31.45 psnr_u:42.52 psnr_v:41.07 
n:36 mse_avg:31.78 mse_y:45.52 mse_u:3.70 mse_v:4.90 psnr_avg:33.11 psnr_y:31.55 psnr_u:42.45 psnr_v:41.22 
n:37 mse_avg:32.90 mse_y:47.16 mse_u:3.81 mse_v:4.95 psnr_avg:32.96 psnr_y:31.40 psnr_u:42.32 psnr_v:41.19 
n:38 mse_avg:30.94 mse_y:44.29 mse_u:3.69 mse_v:4.78 psnr_avg:33.23 psnr_y:31.67 psnr_u:42.46 psnr_v:41.33 
n:39 mse_avg:31.73 mse_y:45.48 mse_u:3.71 mse_v:4.77 psnr_avg:33.12 psnr_y:31.55 psnr_u:42.44 psnr_v:41.35 
n:40 mse_avg:30.95 mse_y:44.34 mse_u:3.64 mse_v:4.68 psnr_avg:33.22 psnr_y:31.66 psnr_u:42.52 psnr_v:41.43 
n:41 mse_avg:31.45 mse_y:45.09 mse_u:3.69 mse_v:4.67 psnr_avg:33.15 psnr_y:31.59 psnr_u:42.46 psnr_v:41.44 
n:42 mse_avg:31.79 mse_y:45.60 mse_u:3.67 mse_v:4.68 psnr_avg:33.11 psnr_y:31.54 psnr_u:42.49 psnr_v:41.43 
n:43 mse_avg:32.06 mse_y:46.00 mse_u:3.65 mse_v:4.70 psnr_avg:33.07 psnr_y:31.50 psnr_u:42.51 psnr_v:41.41 
