n:39 mse_avg:7.30 mse_y:10.10 mse_u:1.49 mse_v:1.93 psnr_avg:39.50 psnr_y:38.09 psnr_u:46.40 psnr_v:45.28 
n:40 mse_avg:7.10 mse_y:9.82 mse_u:1.46 mse_v:1.83 psnr_avg:39.62 psnr_y:38.21 psnr_u:46.49 psnr_v:45.51 
n:41 mse_avg:7.34 mse_y:10.17 mse_u:1.49 mse_v:1.85 psnr_avg:39.47 psnr_y:38.06 psnr_u:46.41 psnr_v:45.45 
n:42 mse_avg:7.22 mse_y:10.00 mse_u:1.46 mse_v:1.83 psnr_avg:39.55 psnr_y:38.13 psnr_u:46.48 psnr_v:45.52 
n:43 mse_avg:7.28 mse_y:10.10 mse_u:1.46 mse_v:1.84 psnr_avg:39.51 psnr_y:38.09 psnr_u:46.50 psnr_v:45.49 
n:44 mse_avg:6.98 mse_y:9.66 mse_u:1.44 mse_v:1.80 psnr_avg:39.69 psnr_y:38.28 psnr_u:46.54 psnr_v:45.57 
n:45 mse_avg:7.14 mse_y:9.89 mse_u:1.46 mse_v:1.83 psnr_avg:39.59 psnr_y:38.18 psnr_u:46.48 psnr_v:45.51 
n:46 mse_avg:6.85 mse_y:9.45 mse_u:1.47 mse_v:1.81 psnr_avg:39.78 psnr_y:38.38 psnr_u:46.45 psnr_v:45.55 
n:47 mse_avg:7.16 mse_y:9.91 mse_u:1.48 mse_v:1.84 psnr_avg:39.58 psnr_y:38.17 psnr_u:46.43 psnr_v:45.47 
n:48 mse_avg:6.98 mse_y:9.64 mse_u:1.48 mse_v:1.83 psnr_avg:39.69 psnr_y:38.29 psnr_u:46.43 psnr_v:45.51 
n:49 mse_avg:7.43 mse_y:10.30 mse_u:1.51 mse_v:1.88 psnr_avg:39.42 psnr_y:38.00 psnr_u:46.33 psnr_v:45.40 
n:50 mse_avg:7.16 mse_y:9.88 mse_u:1.53 mse_v:1.91 psnr_avg:39.58 psnr_y:38.18 psnr_u:46.27 psnr_v:45.32 
n:51 mse_avg:3.29 mse_y:4.41 mse_u:0.98 mse_v:1.14 psnr_avg:42.96 psnr_y:41.69 psnr_u:48.22 psnr_v:47.56 
n:52 mse_avg:5.11 mse_y:7.12 mse_u:1.00 mse_v:1.17 psnr_avg:41.04 psnr_y:39.60 psnr_u:48.12 psnr_v:47.44 
n:53 mse_avg:6.13 mse_y:8.61 mse_u:1.07 mse_v:1.27 psnr_avg:40.26 psnr_y:38.78 psnr_u:47.84 psnr_v:47.11 
n:54 mse_avg:6.17 mse_y:8.69 mse_u:1.04 mse_v:1.23 psnr_avg:40.23 psnr_y:38.74 psnr_u:47.95 psnr_v:47.22 
n:55 mse_avg:6.16 mse_y:8.67 mse_u:1.04 mse_v:1.25 psnr_avg:40.23 psnr_y:38.75 psnr_u:47.96 psnr_v:47.15 
n:56 mse_avg:5.89 mse_y:8.27 mse_u:1.04 mse_v:1.23 psnr_avg:40.43 psnr_y:38.95 psnr_u:47.95 psnr_v:47.23 
