n:1 mse_avg:0.16 mse_y:0.20 mse_u:0.07 mse_v:0.06 psnr_avg:56.19 psnr_y:55.05 psnr_u:59.87 psnr_v:60.47 
n:2 mse_avg:39.29 mse_y:58.57 mse_u:0.93 mse_v:0.51 psnr_avg:32.19 psnr_y:30.45 psnr_u:48.43 psnr_v:51.04 
n:3 mse_avg:39.14 mse_y:58.36 mse_u:0.90 mse_v:0.50 psnr_avg:32.20 psnr_y:30.47 psnr_u:48.61 psnr_v:51.12 
n:4 mse_avg:63.46 mse_y:94.49 mse_u:1.64 mse_v:1.16 psnr_avg:30.11 psnr_y:28.38 psnr_u:45.99 psnr_v:47.48 
n:5 mse_avg:61.41 mse_y:91.43 mse_u:1.58 mse_v:1.17 psnr_avg:30.25 psnr_y:28.52 psnr_u:46.14 psnr_v:47.47 
n:6 mse_avg:80.35 mse_y:119.45 mse_u:2.39 mse_v:1.94 psnr_avg:29.08 psnr_y:27.36 psnr_u:44.35 psnr_v:45.25 
n:7 mse_avg:76.31 mse_y:113.43 mse_u:2.29 mse_v:1.86 psnr_avg:29.30 psnr_y:27.58 psnr_u:44.53 psnr_v:45.44 
n:8 mse_avg:89.06 mse_y:132.18 mse_u:3.05 mse_v:2.62 psnr_avg:28.63 psnr_y:26.92 psnr_u:43.29 psnr_v:43.95 
n:9 mse_avg:88.07 mse_y:130.70 mse_u:3.05 mse_v:2.55 psnr_avg:28.68 psnr_y:26.97 psnr_u:43.29 psnr_v:44.06 
n:10 mse_avg:98.59 mse_y:146.08 mse_u:3.87 mse_v:3.30 psnr_avg:28.19 psnr_y:26.48 psnr_u:42.25 psnr_v:42.95 
n:11 mse_avg:94.64 mse_y:140.19 mse_u:3.80 mse_v:3.24 psnr_avg:28.37 psnr_y:26.66 psnr_u:42.33 psnr_v:43.02 
n:12 mse_avg:102.86 mse_y:152.19 mse_u:4.55 mse_v:3.89 psnr_avg:28.01 psnr_y:26.31 psnr_u:41.55 psnr_v:42.23 
n:13 mse_avg:104.82 mse_y:155.07 mse_u:4.66 mse_v:3.94 psnr_avg:27.93 psnr_y:26.23 psnr_u:41.45 psnr_v:42.18 
n:14 mse_avg:113.02 mse_y:167.07 mse_u:5.32 mse_v:4.54 psnr_avg:27.60 psnr_y:25.90 psnr_u:40.87 psnr_v:41.56 
n:15 mse_avg:110.16 mse_y:162.81 mse_u:5.21 mse_v:4.49 psnr_avg:27.71 psnr_y:26.01 psnr_u:40.96 psnr_v:41.61 
n:16 mse_avg:114.73 mse_y:169.41 mse_u:5.75 mse_v:4.98 psnr_avg:27.53 psnr_y:25.84 psnr_u:40.54 psnr_v:41.15 
n:17 mse_avg:116.49 mse_y:172.06 mse_u:5.74 mse_v:4.98 psnr_avg:27.47 psnr_y:25.77 psnr_u:40.54 psnr_v:41.16 
n:18 mse_avg:121.84 mse_y:179.83 mse_u:6.22 mse_v:5.48 psnr_avg:27.27 psnr_y:25.58 psnr_u:40.19 psnr_v:40.74 
n:19 mse_avg:116.57 mse_y:171.99 mse_u:6.03 mse_v:5.43 psnr_avg:27.46 psnr_y:25.78 psnr_u:40.33 psnr_v:40.78 
n:20 mse_avg:120.67 mse_y:177.92 mse_u:6.48 mse_v:5.87 psnr_avg:27.31 psnr_y:25.63 psnr_u:40.01 psnr_v:40.44 
n:21 mse_avg:123.24 mse_y:181.70 mse_u:6.63 mse_v:6.01 psnr_avg:27.22 psnr_y:25.54 psnr_u:39.92 psnr_v:40.34 
n:22 mse_avg:125.70 mse_y:185.17 mse_u:7.05 mse_v:6.48 psnr_avg:27.14 psnr_y:25.46 psnr_u:39.65 psnr_v:40.02 
n:23 mse_avg:126.60 mse_y:186.48 mse_u:7.13 mse_v:6.56 psnr_avg:27.11 psnr_y:25.42 psnr_u:39.60 psnr_v:39.97 
n:24 mse_avg:129.84 mse_y:191.13 mse_u:7.50 mse_v:6.98 psnr_avg:27.00 psnr_y:25.32 psnr_u:39.38 psnr_v:39.69 
n:25 mse_avg:133.44 mse_y:196.43 mse_u:7.76 mse_v:7.14 psnr_avg:26.88 psnr_y:25.20 psnr_u:39.23 psnr_v:39.59 
n:26 mse_avg:136.76 mse_y:201.22 mse_u:8.12 mse_v:7.58 psnr_avg:26.77 psnr_y:25.09 psnr_u:39.04 psnr_v:39.34 
