n:1 mse_avg:0.94 mse_y:1.17 mse_u:0.45 mse_v:0.54 psnr_avg:48.38 psnr_y:47.45 psnr_u:51.57 psnr_v:50.79 
n:2 mse_avg:1.23 mse_y:1.58 mse_u:0.47 mse_v:0.57 psnr_avg:47.24 psnr_y:46.14 psnr_u:51.44 psnr_v:50.57 
n:3 mse_avg:1.34 mse_y:1.75 mse_u:0.48 mse_v:0.59 psnr_avg:46.85 psnr_y:45.70 psnr_u:51.33 psnr_v:50.43 
n:4 mse_avg:1.38 mse_y:1.80 mse_u:0.48 mse_v:0.59 psnr_avg:46.73 psnr_y:45.58 psnr_u:51.29 psnr_v:50.40 
n:5 mse_avg:1.43 mse_y:1.87 mse_u:0.50 mse_v:0.61 psnr_avg:46.56 psnr_y:45.40 psnr_u:51.16 psnr_v:50.28 
n:6 mse_avg:1.42 mse_y:1.85 mse_u:0.49 mse_v:0.61 psnr_avg:46.62 psnr_y:45.46 psnr_u:51.21 psnr_v:50.31 
n:7 mse_avg:1.48 mse_y:1.95 mse_u:0.50 mse_v:0.62 psnr_avg:46.41 psnr_y:45.24 psnr_u:51.12 psnr_v:50.23 
n:8 mse_avg:1.48 mse_y:1.94 mse_u:0.50 mse_v:0.62 psnr_avg:46.42 psnr_y:45.25 psnr_u:51.11 psnr_v:50.19 
n:9 mse_avg:1.55 mse_y:2.04 mse_u:0.51 mse_v:0.64 psnr_avg:46.23 psnr_y:45.04 psnr_u:51.04 psnr_v:50.09 
n:10 mse_avg:1.53 mse_y:2.01 mse_u:0.51 mse_v:0.63 psnr_avg:46.28 psnr_y:45.10 psnr_u:51.06 psnr_v:50.11 
n:11 mse_avg:1.58 mse_y:2.07 mse_u:0.52 mse_v:0.65 psnr_avg:46.15 psnr_y:44.96 psnr_u:50.94 psnr_v:50.02 
n:12 mse_avg:1.59 mse_y:2.08 mse_u:0.53 mse_v:0.65 psnr_avg:46.13 psnr_y:44.94 psnr_u:50.92 psnr_v:49.98 
n:13 mse_avg:1.68 mse_y:2.22 mse_u:0.54 mse_v:0.68 psnr_avg:45.88 psnr_y:44.68 psnr_u:50.79 psnr_v:49.83 
n:14 mse_avg:1.61 mse_y:2.11 mse_u:0.54 mse_v:0.67 psnr_avg:46.07 psnr_y:44.88 psnr_u:50.84 psnr_v:49.87 
n:15 mse_avg:1.63 mse_y:2.13 mse_u:0.54 mse_v:0.68 psnr_avg:46.02 psnr_y:44.84 psnr_u:50.80 psnr_v:49.80 
n:16 mse_avg:1.61 mse_y:2.12 mse_u:0.54 mse_v:0.67 psnr_avg:46.05 psnr_y:44.88 psnr_u:50.79 psnr_v:49.84 
n:17 mse_avg:1.66 mse_y:2.17 mse_u:0.56 mse_v:0.69 psnr_avg:45.94 psnr_y:44.76 psnr_u:50.68 psnr_v:49.72 
n:18 mse_avg:1.64 mse_y:2.16 mse_u:0.55 mse_v:0.69 psnr_avg:45.97 psnr_y:44.79 psnr_u:50.71 psnr_v:49.75 
n:19 mse_avg:1.68 mse_y:2.20 mse_u:0.56 mse_v:0.69 psnr_avg:45.89 psnr_y:44.70 psnr_u:50.65 psnr_v:49.72 
n:20 mse_avg:1.69 mse_y:2.23 mse_u:0.56 mse_v:0.69 psnr_avg:45.84 psnr_y:44.66 psnr_u:50.62 psnr_v:49.72 
n:21 mse_avg:1.70 mse_y:2.24 mse_u:0.56 mse_v:0.69 psnr_avg:45.83 psnr_y:44.64 psnr_u:50.63 psnr_v:49.75 
n:22 mse_avg:1.65 mse_y:2.16 mse_u:0.57 mse_v:0.70 psnr_avg:45.95 psnr_y:44.78 psnr_u:50.61 psnr_v:49.71 
