n:1 mse_avg:9.43 mse_y:13.41 mse_u:1.39 mse_v:1.54 psnr_avg:38.39 psnr_y:36.86 psnr_u:46.70 psnr_v:46.25 
n:2 mse_avg:10.56 mse_y:15.06 mse_u:1.42 mse_v:1.69 psnr_avg:37.90 psnr_y:36.35 psnr_u:46.62 psnr_v:45.86 
n:3 mse_avg:10.64 mse_y:15.18 mse_u:1.43 mse_v:1.72 psnr_avg:37.86 psnr_y:36.32 psnr_u:46.59 psnr_v:45.79 
n:4 mse_avg:11.13 mse_y:15.88 mse_u:1.46 mse_v:1.79 psnr_avg:37.67 psnr_y:36.12 psnr_u:46.48 psnr_v:45.60 
n:5 mse_avg:11.52 mse_y:16.43 mse_u:1.48 mse_v:1.92 psnr_avg:37.52 psnr_y:35.97 psnr_u:46.44 psnr_v:45.30 
n:6 mse_avg:11.76 mse_y:16.76 mse_u:1.48 mse_v:2.04 psnr_avg:37.43 psnr_y:35.89 psnr_u:46.42 psnr_v:45.04 
n:7 mse_avg:12.29 mse_y:17.47 mse_u:1.53 mse_v:2.33 psnr_avg:37.23 psnr_y:35.71 psnr_u:46.29 psnr_v:44.45 
n:8 mse_avg:12.10 mse_y:17.19 mse_u:1.51 mse_v:2.31 psnr_avg:37.30 psnr_y:35.78 psnr_u:46.33 psnr_v:44.50 
n:9 mse_avg:12.14 mse_y:17.25 mse_u:1.52 mse_v:2.33 psnr_avg:37.29 psnr_y:35.76 psnr_u:46.31 psnr_v:44.46 
n:10 mse_avg:12.19 mse_y:17.32 mse_u:1.52 mse_v:2.33 psnr_avg:37.27 psnr_y:35.74 psnr_u:46.30 psnr_v:44.45 
n:11 mse_avg:12.62 mse_y:17.95 mse_u:1.54 mse_v:2.36 psnr_avg:37.12 psnr_y:35.59 psnr_u:46.26 psnr_v:44.40 
n:12 mse_avg:12.15 mse_y:17.25 mse_u:1.56 mse_v:2.34 psnr_avg:37.28 psnr_y:35.76 psnr_u:46.21 psnr_v:44.44 
n:13 mse_avg:12.25 mse_y:17.40 mse_u:1.57 mse_v:2.34 psnr_avg:37.25 psnr_y:35.73 psnr_u:46.17 psnr_v:44.44 
n:14 mse_avg:12.43 mse_y:17.66 mse_u:1.59 mse_v:2.36 psnr_avg:37.19 psnr_y:35.66 psnr_u:46.13 psnr_v:44.40 
n:15 mse_avg:13.30 mse_y:18.92 mse_u:1.61 mse_v:2.51 psnr_avg:36.89 psnr_y:35.36 psnr_u:46.07 psnr_v:44.13 
n:16 mse_avg:12.36 mse_y:17.52 mse_u:1.60 mse_v:2.45 psnr_avg:37.21 psnr_y:35.70 psnr_u:46.09 psnr_v:44.23 
n:17 mse_avg:12.33 mse_y:17.47 mse_u:1.61 mse_v:2.48 psnr_avg:37.22 psnr_y:35.71 psnr_u:46.06 psnr_v:44.19 
n:18 mse_avg:12.30 mse_y:17.41 mse_u:1.63 mse_v:2.51 psnr_avg:37.23 psnr_y:35.72 psnr_u:46.00 psnr_v:44.14 
n:19 mse_avg:13.35 mse_y:18.92 mse_u:1.65 mse_v:2.77 psnr_avg:36.88 psnr_y:35.36 psnr_u:45.95 psnr_v:43.71 
