n:1 mse_avg:1.49 mse_y:1.93 mse_u:0.60 mse_v:0.62 psnr_avg:46.41 psnr_y:45.28 psnr_u:50.37 psnr_v:50.21 
n:2 mse_avg:2.38 mse_y:3.26 mse_u:0.60 mse_v:0.63 psnr_avg:44.37 psnr_y:43.00 psnr_u:50.38 psnr_v:50.13 
n:3 mse_avg:2.78 mse_y:3.85 mse_u:0.62 mse_v:0.66 psnr_avg:43.70 psnr_y:42.28 psnr_u:50.24 psnr_v:49.95 
n:4 mse_avg:3.05 mse_y:4.21 mse_u:0.70 mse_v:0.75 psnr_avg:43.29 psnr_y:41.89 psnr_u:49.67 psnr_v:49.40 
n:5 mse_avg:3.21 mse_y:4.45 mse_u:0.72 mse_v:0.77 psnr_avg:43.06 psnr_y:41.65 psnr_u:49.55 psnr_v:49.28 
n:6 mse_avg:3.03 mse_y:4.18 mse_u:0.72 mse_v:0.77 psnr_avg:43.31 psnr_y:41.92 psnr_u:49.56 psnr_v:49.26 
n:7 mse_avg:3.25 mse_y:4.50 mse_u:0.73 mse_v:0.79 psnr_avg:43.01 psnr_y:41.60 psnr_u:49.47 psnr_v:49.16 
n:8 mse_avg:3.15 mse_y:4.34 mse_u:0.74 mse_v:0.79 psnr_avg:43.15 psnr_y:41.75 psnr_u:49.45 psnr_v:49.14 
n:9 mse_avg:3.31 mse_y:4.58 mse_u:0.76 mse_v:0.81 psnr_avg:42.93 psnr_y:41.52 psnr_u:49.34 psnr_v:49.04 
n:10 mse_avg:3.09 mse_y:4.24 mse_u:0.77 mse_v:0.83 psnr_avg:43.23 psnr_y:41.86 psnr_u:49.29 psnr_v:48.95 
n:11 mse_avg:3.30 mse_y:4.54 mse_u:0.80 mse_v:0.85 psnr_avg:42.94 psnr_y:41.56 psnr_u:49.11 psnr_v:48.83 
n:12 mse_avg:3.23 mse_y:4.44 mse_u:0.78 mse_v:0.84 psnr_avg:43.04 psnr_y:41.65 psnr_u:49.21 psnr_v:48.90 
n:13 mse_avg:3.43 mse_y:4.74 mse_u:0.79 mse_v:0.85 psnr_avg:42.78 psnr_y:41.38 psnr_u:49.18 psnr_v:48.85 
n:14 mse_avg:3.12 mse_y:4.28 mse_u:0.77 mse_v:0.84 psnr_avg:43.19 psnr_y:41.82 psnr_u:49.25 psnr_v:48.91 
n:15 mse_avg:3.25 mse_y:4.46 mse_u:0.79 mse_v:0.86 psnr_avg:43.01 psnr_y:41.64 psnr_u:49.15 psnr_v:48.80 
n:16 mse_avg:3.15 mse_y:4.32 mse_u:0.78 mse_v:0.85 psnr_avg:43.15 psnr_y:41.78 psnr_u:49.20 psnr_v:48.85 
